Scopus - 作者产出分析

"作者姓名:","Gilson, Lucy L."
"Scopus 作者 ID:","7005551617"

"h-Index:","54"

"起始年份:","1987"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","685","Reforming the health sector in developing countries: The central role of policy analysis"
"2","607","Trust and the development of health care as a social institution"
"3","427","'Doing' health policy analysis: Methodological and conceptual reflections and challenges"
"4","343","Building the field of health policy and systems research: Framing the questions"
"5","246","The terrain of health policy analysis in low and middle income countries: A review of published literature 1994-2007"
"6","232","Inequalities in health care use and expenditures: Empirical data from eight developing countries and countries in transition"
"7","219","'We are bitter but we are satisfied': Nurses as street-level bureaucrats in South Africa"
"8","200","An open letter to the BMJ editors on qualitative research"
"9","190","The lessons of user fee experience in Africa"
"10","165","Good health at low cost 25 years on: Lessons for the future of health systems strengthening"
"11","157","Removing user fees for primary care in Africa: The need for careful action"
"12","154","Health Systems and Access to Antiretroviral Drugs for HIV in Southern Africa: Service Delivery and Human Resources Challenges"
"13","148","Affordability, availability and acceptability barriers to health care for the chronically ill: Longitudinal case studies from South Africa"
"14","145","Community satisfaction with primary health care services: An evaluation undertaken in the Morogoro region of Tanzania"
"15","144","Health financing to promote access in low income settings - How much do we know?"
"16","142","Cost-effectiveness of improved treatment services for sexually transmitted diseases in preventing HIV-1 infection in Mwanza Region, Tanzania"
"17","133","Treatment-seeking behaviour, cost burdens and coping strategies among rural and urban households in Coastal Kenya: An equity analysis"
"18","133","Trust and health worker performance: Exploring a conceptual framework using South African evidence"
"19","132","Trust in health care: Theoretical perspectives and research needs"
"20","112","Addressing social determinants of health inequities: what can the state and civil society do?"
"21","111","Health sector reforms in sub-Saharan Africa: lessons of the last 10 years"
"22","106","What is resilience and how can it be nurtured? A systematic review of empirical literature on organizational resilience"
"23","106","Building the field of health policy and systems research: An agenda for action"
"24","105","Removing user fees in the health sector: A review of policy processes in six sub-Saharan African countries"
"25","95","People-centred science: Strengthening the practice of health policy and systems research"
"26","92","The political economy of user fees with targeting: Developing equitable health financing policy"
"27","89","Contextual influences on health worker motivation in district hospitals in Kenya"
"28","89","How can trust be investigated? Drawing lessons from past experience"
"29","88","National community health worker programs: How can they be strengthened?"
"30","86","Factors influencing implementation of the Community Health Fund in Tanzania"
"31","84","Priorities for research on equity and health: Towards an equity-focused health research agenda"
"32","83","How to start thinking about investigating power in the organizational settings of policy implementation"
"33","82","Resources, attitudes and culture: An understanding of the factors that influence the functioning of accountability mechanisms in primary health care settings"
