Scopus - 作者产出分析

"作者姓名:","French, Kenneth R."
"Scopus 作者 ID:","7006094907"

"h-Index:","42"

"起始年份:","1980"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","10737","Common risk factors in the returns on stocks and bonds"
"2","7033","The Cross‐Section of Expected Stock Returns"
"3","2777","Multifactor explanations of asset pricing anomalies"
"4","2703","Industry costs of equity"
"5","1998","Expected stock returns and volatility"
"6","1981","A five-factor asset pricing model"
"7","1729","Business conditions and expected returns on stocks and bonds"
"8","1463","Dividend yields and expected stock returns"
"9","1442","Size and Book‐to‐Market Factors in Earnings and Returns"
"10","1338","Testing Trade-Off and Pecking Order Predictions About Dividends and Debt"
"11","1253","Disappearing dividends: Changing firm characteristics or lower propensity to pay?"
"12","977","Stock return variances. The arrival of information and the reaction of traders"
"13","952","Value versus growth: The international evidence"
"14","919","Stock returns and the weekend effect"
"15","768","Size, value, and momentum in international stock returns"
"16","745","Dissecting anomalies"
"17","652","The Capital Asset Pricing Model: Theory and evidence"
"18","633","Luck versus Skill in the cross-section of mutual fund returns"
"19","486","The equity premium"
"20","437","Characteristics, covariances, and average returns: 1929 to 1997"
"21","372","Taxes, financing decisions, and firm value"
"22","358","Forecasting profitability and earnings"
"23","335","Profitability, investment and average returns"
"24","328","Financing decisions: Who issues stock?"
"25","318","Dissecting Anomalies with a Five-Factor Model"
"26","299","Presidential address: The cost of active investing"
"27","276","New lists: Fundamentals and survival rates"
"28","261","International tests of a five-factor asset pricing model"
"29","225","The value premium and the CAPM"
"30","223","Business Cycles and the Behavior of Metals Prices"
"31","201","Choosing factors"
"32","175","Disagreement, tastes, and asset prices"
"33","158","The CAPM is wanted, dead or alive"
"34","148","The Squam Lake report: Fixing the financial system"
"35","134","Were Japanese stock prices too high?"
"36","126","Taxes and the Pricing of Stock Index Futures"
"37","109","The pricing of stock index futures"
"38","91","A comparison of futures and forward prices"
"39","88","Average returns, B/M, and share issues"
"40","85","The corporate cost of capital and the return on corporate investment"
"41","49","The anatomy of value and growth stock returns"
"42","43","Migration"
"43","32","Incremental variables and the investment opportunity set"
"44","32","Japanese and U.S. cross-border common stock investments"
"45","19","Comparing Cross-Section and Time-Series Factor Models"
"46","17","Long-horizon returns"
"47","16","Commodity own rates, real interest rates, and money supply announcements"
"48","11","Volatility lessons"
"49","4","Trading mechanisms and value-discovery: Cross-national evidence and policy implications. A comment"
"50","3","The Value Premium"
"51","1","DISCUSSION"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
