Scopus - 作者产出分析

"作者姓名:","Aguinis, Herman"
"Scopus 作者 ID:","7006100196"

"h-Index:","62"

"起始年份:","1993"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1801","What We Know and Don't Know About Corporate Social Responsibility: A Review and Research Agenda"
"2","658","Best Practice Recommendations for Designing and Implementing Experimental Vignette Methodology Studies"
"3","651","Benefits of training and development for individuals and teams, organizations, and society"
"4","632","A Critical Review and Best-Practice Recommendations for Control Variable Usage"
"5","629","Effect size and power in assessing moderating effects of categorical variables using multiple regression: A 30-year review"
"6","574","Best-Practice Recommendations for Estimating Cross-Level Interaction Effects Using Multilevel Modeling"
"7","510","The Too-Much-of-a-Good-Thing Effect in Management"
"8","444","Best-Practice Recommendations for Defining, Identifying, and Handling Outliers"
"9","411","Statistical Power with Moderated Multiple Regression in Management Research"
"10","392","Cautionary note on reporting eta-squared values from multifactor anova designs"
"11","350","Correlational effect size benchmarks"
"12","287","Understanding and estimating the power to detect cross-level interaction effects in multilevel modeling"
"13","258","Improving Our Understanding of Moderation and Mediation in Strategic Management Research"
"14","257","Methodological artifacts in moderated multiple regression and their effects on statistical power"
"15","246","The Time Has Come: Bayesian Methods for Data Analysis in the Organizational Sciences"
"16","242","Research in Industrial and Organizational Psychology From 1963 to 2007: Changes, Choices, and Trends"
"17","192","On Corporate Social Responsibility, Sensemaking, and the Search for Meaningfulness Through Work"
"18","183","Extending corporate social responsibility research to the human resource management and organizational behavior domains: A look to the future"
"19","170","What you see is what you get? Enhancing methodological transparency in management research"
"20","170","Using experience sampling methodology to advance entrepreneurship theory and research"
"21","163","Customer-centric science: Reporting significant research results with rigor, relevance, and practical impact in mind"
"22","157","Embedded Versus Peripheral Corporate Social Responsibility: Psychological Foundations"
"23","156","Meta-analytic choices and judgment calls: Implications for theory building and testing, obtained effect sizes, and scholarly impact"
"24","155","Transparency and replicability in qualitative research: The case of interviews with elite informants"
"25","153","Best-practice recommendations for estimating interaction effects using moderated multiple regression"
"26","151","An Ounce of Prevention Is Worth a Pound of Cure: Improving Research Quality before Data Collection"
"27","149","Using Theory Elaboration to Make Theoretical Advancements"
"28","145","Using meta-analytic structural equation modeling to advance strategic management research: Guidelines and an empirical illustration via the strategic leadership-performance relationship"
"29","144","The Best And The Rest: Revisiting The Norm Of Normality Of Individual Performance"
"30","143","Star performers in twenty-first century organizations"
"31","139","Scholarly impact: A pluralist conceptualization"
"32","137","Debunking myths and urban legends about meta-analysis"
"33","133","First decade of organizational research methods: Trends in design, measurement, and data-analysis topics"
