Scopus - 作者产出分析

"作者姓名:","Redding, Stephen J."
"Scopus 作者 ID:","7006240226"

"h-Index:","39"

"起始年份:","1996"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","959","Firms in international trade"
"2","686","Mapping the two faces of R&amp;D: Productivity growth in a panel of OECD industries"
"3","639","Economic geography and international inequality"
"4","404","Inequality and unemployment in a global economy"
"5","358","Comparative advantage and heterogeneous firms"
"6","334","Multiple-product firms and product switching"
"7","331","Multiproduct firms and trade liberalization"
"8","250","The empirics of firm heterogeneity and international trade"
"9","245","R and D and absorptive capacity: Theory and empirical evidence"
"10","233","The costs of remoteness: Evidence from German division and reunification"
"11","226","The unequal effects of liberalization: Evidence from dismantling the license raj in India"
"12","191","The low-skill, low-quality trap: Strategic complementarities between human capital and R &amp; D"
"13","173","Technological convergence, R&amp;D, trade and productivity growth"
"14","172","Heterogeneous Firms and Trade"
"15","164","The Economics of Density: Evidence From the Berlin Wall"
"16","152","Transportation Costs and the Spatial Organization of Economic Activity"
"17","132","Urbanization and structural transformation"
"18","132","The margins of US trade"
"19","122","Dynamic comparative advantage and the welfare effects of trade"
"20","121","New trade models, new welfare implications"
"21","107","Trade and inequality: From theory to estimation"
"22","100","Theories of heterogeneous firms and trade"
"23","99","Evolving patterns of international trade"
"24","87","Wholesalers and retailers in US trade"
"25","87","Intrafirm trade and product contractibility"
"26","85","Quantitative spatial economics"
"27","80","History and industry location: Evidence from German airports"
"28","79","Distance, skill deepening and development: Will peripheral countries ever get rich?"
"29","76","Quantifying the sources of firm heterogeneity"
"30","73","Goods trade, factor mobility and welfare"
"31","73","The empirics of new economic geography"
"32","68","Entry liberalization and inequality in industrial performance"
"33","63","Specialization dynamics"
"34","60","Global firms"
"35","58","The impact of the 2018 tariffs on prices and welfare"
"36","58","Foreign ownership and productivity: New evidence from the service sector and the R and D lab"
"37","54","Commuting, migration, and local employment elasticities"
"38","54","Path dependence, endogenous innovation, and growth"
"39","39","The uneven pace of deindustrialisation in the OECD"
"40","39","Industrial location in developing countries"
"41","37","Sources of wage inequality"
"42","36","The Economic Geography of Trade, Production, and Income: A Survey of Empirics"
"43","35","Technological catch-up and geographic proximity"
"44","35","Integration and industrial specialisation in the European Union"
"45","32","Missing gains from trade?"
"46","31","Unequal effects of trade on workers with different abilities"
"47","28","JUE Insight: How much does COVID-19 increase with mobility? Evidence from New York and four other U.S. cities"
"48","26","The making of the modern metropolis: Evidence from London"
"49","22","Products and productivity"
"50","20","Measuring the Cost-Effectiveness of an R&amp;D Tax Credit for the UK"
"51","15","Task specialization in U.S. Cities from 1880 to 2000"
"52","14","Measuring Aggregate Price Indices with Taste Shocks: Theory and Evidence for CES Preferences"
"53","13","The location of European industry"
"54","13","South-East Asian export performance: External market access and internal supply capacity"
"55","9","Testing for factor price equality with unobserved differences in factor quality or productivity"
"56","8","Relative wage variation and industry location in the United Kingdom"
"57","6","Trade and labor-market outcomes"
"58","4","Factor endowments and production in European regions"
"59","4","The economics of isolation and distance"
"60","0","Trade, Structural Transformation, and Development: Evidence from Argentina 1869–1914"
"61","0","Discussion of “Concentration in international markets: Evidence from US imports” (Alessandra Bonfiglioli, Rosario Crino and Gino Gancia)"
"62","0","Suburbanization in the USA, 1970–2010"
"63","0","Editors' preface"
"64","0","The location of European industry"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
