Scopus - 作者产出分析

"作者姓名:","Card, David E."
"Scopus 作者 ID:","7006709011"

"h-Index:","51"

"起始年份:","1982"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1565","Chapter 30 The causal effect of education on earnings"
"2","1271","Minimum wages and employment: a case study of the fast-food industry in New Jersey and Pennsylvania"
"3","863","Immigrant inflows, native outflows, and the local labor market impacts of higher immigration"
"4","847","Myth and Measurement: The New Economics of the Minimum Wage"
"5","826","Estimating the return to schooling: Progress on some persistent econometric problems"
"6","613","Skill-biased technological change and rising wage inequality: Some problems and puzzles"
"7","440","Active labour market policy evaluations: A meta-analysis"
"8","428","Can falling supply explain the rising return to college for younger men? A cohort-based analysis"
"9","413","Regression discontinuity inference with specification error"
"10","409","Is the new immigration really so bad?"
"11","329","The effect of unions on the structure of wages: A longitudinal analysis"
"12","322","Immigration and inequality"
"13","318","Inequality at work: The effect of peer salaries on job satisfaction"
"14","313","School quality and black-white relative earnings: A direct assessment"
"15","312","The quarterly journal of economics"
"16","302","The impact of nearly universal insurance coverage on health care utilization: Evidence from medicare"
"17","289","Tipping and the dynamics of segregation"
"18","229","Family violence and football: The effect of unexpected emotional cues on violent behavior"
"19","218","Does medicare save lives?"
"20","207","Racial segregation and the black-white test score gap"
"21","190","Do immigrant inflows lead to native outflows?"
"22","188","School Resources and Student Outcomes: An Overview of the Literature and New Evidence from North and South Carolina"
"23","180","Unions and wage inequality"
"24","179","School finance reform, the distribution of school spending, and the distribution of student test scores"
"25","174","What works? A meta analysis of recent active labor market program evaluations"
"26","161","Immigration, wages, and compositional amenities"
"27","146","The effect of unions on wage inequality in the U.S. labor market"
"28","141","Bargaining, sorting, and the gender wage gap: Quantifying the impact of firms on the relative pay of women"
"29","140","Cash-on-hand and competing models of intertemporal behavior: New evidence from the labor market"
"30","138","Extended benefits and the duration of UI spells: Evidence from the New Jersey extended benefit program"
"31","137","Nine facts about top journals in economics"
"32","121","Firms and labor market inequality: Evidence and some theory"
"33","120","Immigration and wages: evidence from the 1980s"
"34","105","Using discontinuous eligibility rules to identify the effects of the federal Medicaid expansions on low-income children"
"35","104","Inference on Causal Effects in a Generalized Regression Kink Design"
"36","102","Going to college to avoid the draft: The unintended legacy of the Vietnam War"
"37","98","The spike at benefit exhaustion: Leaving the unemployment system or starting a new job?"
"38","94","Changes in the relative structure of wages and employment: A comparison of the United States, Canada, and France"
"39","92","Would the elimination of affirmative action affect highly qualified minority applicants? Evidence from California and Texas"
"40","89","Estimating the effects of a time-limited earnings subsidy for welfare-leavers"
"41","73","Strikes and wages: A test of an asymmetric information model"
"42","71","Active labor market policies in Europe: Performance and perspectives"
"43","70","Peer effects and multiple equilibria in the risky behavior of friends"
"44","70","Did the elimination of mandatory retirement affect faculty retirement?"
"45","68","Rent-sharing, holdup, and wages: Evidence from matched panel data"
"46","65","Is workers' compensation covering uninsured medical costs? Evidence from the ""monday effect"""
"47","65","Wage dispersion, returns to skill, and black-white wage differentials"
"48","58","Universal screening increases the representation of low-income and minority students in gifted education"
"49","58","The labor market impacts of youth training in the dominican republic"
"50","58","Firm-level contracting and the structure of wages in Spain"
"51","58","Education, earnings, and the 'Canadian G.I. Bill'"
"52","51","Unemployment insurance taxes and the cyclical and seasonal properties of unemployment"
"53","49","Management practices, workforce selection, and productivity"
"54","46","The role of theory in field experiments"
"55","44","Immigration economics by George J. Borjas: A review essay"
"56","43","Can compulsory military service raise civilian wages? Evidence from the peacetime draft in Portugal"
"57","41","School competition and efficiency with publicly funded catholic schools"
"58","35","Unions and the wage structure"
"59","35","Time Series Representations of Economic Variables and Alternative Models of the Labour Market"
"60","34","The geography of giving: The effect of corporate headquarters on local charities"
"61","32","Are Referees and Editors in Economics Gender Neutral?"
"62","31","Does voting technology affect election outcomes? Touch-screen voting and the 2004 Presidential election"
"63","30","The effect of unemployment benefits on the duration of unemployment insurance receipt: New evidence from a regression kink design in Missouri, 2003-2013"
"64","30","School Resources and Student Outcomes"
"65","28","Can tracking raise the test scores of high-ability minority students?"
"66","28","Changing wage structure and black-white wage differentials"
"67","26","How immigration affects U.S. cities"
"68","26","When financial work incentives pay for themselves: Evidence from a randomized social experiment for welfare recipients"
"69","22","What do editors maximize? Evidence from four economics journals"
"70","22","Pension plan characteristics and framing effects in employee savings behavior"
"71","21","The measurement of Medicaid coverage in the SIPP: Evidence from a comparison of matched records"
"72","21","Preface to the handbook"
"73","20","Origins of the unemployment rate: The lasting legacy of measurement without theory"
"74","18","Labor supply with a minimum hours threshold"
"75","16","Regression kink design: Theory and practice"
"76","16","The impact of technological change on low-wage workers: A review"
"77","14","Unions and wage inequality: The roles of gender, skill and public sector employment"
"78","14","Page limits on economics articles: Evidence from two journals"
"79","14","Comment: The elusive search for negative wage impacts of immigration"
"80","12","HIGH SCHOOL CHOICES AND THE GENDER GAP IN STEM"
"81","11","How important are ""entry effects"" in financial incentive programs for welfare recipients? Experimental evidence from the Self-Sufficiency Project"
"82","11","Preface to the handbook"
