Scopus - 作者产出分析

"作者姓名:","Ang, Beng Wah"
"Scopus 作者 ID:","7007186262"

"h-Index:","68"

"起始年份:","1986"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1379","Decomposition analysis for policymaking in energy: Which is the preferred method?"
"2","937","A survey of index decomposition analysis in energy and environmental studies"
"3","935","The LMDI approach to decomposition analysis: A practical guide"
"4","844","A survey of data envelopment analysis in energy and environmental studies"
"5","597","Structural decomposition analysis applied to energy and emissions: Some methodological developments"
"6","562","Factorizing changes in energy and environmental indicators through decomposition"
"7","527","A new energy decomposition method: Perfect in decomposition and consistent in aggregation"
"8","504","LMDI decomposition approach: A guide for implementation"
"9","472","Energy and CO <inf>2</inf> emission performance in electricity generation: A non-radial directional distance function approach"
"10","451","Total factor carbon emission performance: A Malmquist index analysis"
"11","426","Decomposition of aggregate energy and gas emission intensities for industry: A refined divisia index method"
"12","378","Measuring environmental performance under different environmental DEA technologies"
"13","363","Linear programming models for measuring economy-wide energy efficiency performance"
"14","352","Energy security: Definitions, dimensions and indexes"
"15","352","A non-radial DEA approach to measuring environmental performance"
"16","333","Input-output analysis of CO<inf>2</inf> emissions embodied in trade: The effects of sector aggregation"
"17","322","Slacks-based efficiency measures for modeling environmental performance"
"18","302","Input-output analysis of CO<inf>2</inf> emissions embodied in trade: A multi-region model for China"
"19","274","Handling zero values in the logarithmic mean Divisia index decomposition approach"
"20","256","Perfect decomposition techniques in energy and environmental analysis"
"21","235","Measuring economy-wide energy efficiency performance: A parametric frontier approach"
"22","219","Input-output analysis of CO<inf>2</inf> emissions embodied in trade: Competitive versus non-competitive imports"
"23","218","Decomposition of aggregate CO<inf>2</inf> emissions: A production-theoretical approach"
"24","217","A mathematical programming approach to constructing composite indicators"
"25","212","Monitoring changes in economy-wide energy efficiency: From energy-GDP ratio to composite efficiency index"
"26","210","Index decomposition analysis applied to CO<inf>2</inf> emission studies"
"27","203","Carbon emission intensity in electricity production: A global analysis"
"28","202","Multiplicative decomposition of aggregate carbon intensity change using input-output analysis"
"29","198","Assessing drivers of economy-wide energy use and emissions: IDA versus SDA"
"30","198","A trigonometric grey prediction approach to forecasting electricity demand"
"31","185","Input-output analysis of CO<inf>2</inf> emissions embodied in trade: The effects of spatial aggregation"
"32","182","Accounting frameworks for tracking energy efficiency trends"
"33","174","Decomposition methodology in industrial energy demand analysis"
"34","173","Input-output analysis of CO<inf>2</inf> emissions embodied in trade and the driving forces: Processing and normal exports"
"35","172","Multi-region input-output analysis of CO<inf>2</inf> emissions embodied in trade: The feedback effects"
"36","169","Comparing aggregating methods for constructing the composite environmental index: An objective measure"
"37","164","Multiplicative structural decomposition analysis of aggregate embodied energy and emission intensities"
"38","157","Decomposition of industrial energy consumption. Some methodological and application issues"
"39","152","Multi-country comparisons of energy performance: The index decomposition analysis approach"
"40","138","Input-output and structural decomposition analysis of Singapore's carbon emissions"
"41","137","Factors shaping aggregate energy intensity trend for industry: Energy intensity versus product mix"
"42","134","Weighting and aggregation in composite indicator construction: A multiplicative optimization approach"
"43","134","Properties and linkages of some index decomposition analysis methods"
"44","133","Decision analysis in energy and environmental modeling"
"45","130","Multi-region comparisons of emission performance: The structural decomposition analysis approach"
"46","126","Attribution of changes in Divisia real energy intensity index - An extension to index decomposition analysis"
"47","123","Decision analysis in energy and environmental modeling: An update"
"48","111","Is the energy intensity a less useful indicator than the carbon factor in the study of climate change?"
"49","107","Decomposition of energy-induced CO<inf>2</inf> emissions in manufacturing"
"50","106","Decomposition of industrial energy consumption. The energy intensity approach"
"51","105","Inter-regional comparisons of energy-related CO<inf>2</inf> emissions using the decomposition technique"
"52","102","Comparing MCDA aggregation methods in constructing composite indicators using the Shannon-Spearman measure"
"53","101","A generalized Fisher index approach to energy decomposition analysis"
"54","98","Energy decomposition analysis: IEA model versus other methods"
"55","94","Methodological issues in cross-country/region decomposition of energy and environment indicators"
"56","93","A spatial–temporal decomposition approach to performance assessment in energy and emissions"
"57","91","A comparative analysis of R&amp;D project evaluation methods"
"58","90","STRUCTURAL DECOMPOSITION ANALYSIS APPLIED TO ENERGY AND EMISSIONS: AGGREGATION ISSUES"
"59","89","A Multi-region Structural Decomposition Analysis of Global CO<inf>2</inf> Emission Intensity"
"60","89","Negative-value problems of the logarithmic mean Divisia index decomposition approach"
"61","86","Index decomposition analysis with multidimensional and multilevel energy data"
"62","86","Transportation fuels and policy for Singapore: An AHP planning approach"
"63","82","Some properties of an exact energy decomposition model"
"64","81","Analysing residential energy consumption using index decomposition analysis"
"65","80","Eight methods for decomposing the aggregate energy-intensity of industry"
"66","77","Attribution of changes in the generalized Fisher index with application to embodied emission studies"
"67","76","Tracking industrial energy efficiency trends using index decomposition analysis"
"68","69","Decomposition of aggregate energy intensity changes in two measures: Ratio and difference"
"69","68","Multiplicative structural decomposition analysis of energy and emission intensities: Some methodological issues"
"70","64","Multilevel decomposition of industrial energy consumption"
"71","62","Assessing the role of international trade in global CO<inf>2</inf> emissions: An index decomposition analysis approach"
"72","62","A framework for evaluating Singapore's energy security"
"73","59","Carbon intensity of electricity in ASEAN: Drivers, performance and outlook"
"74","58","Structural path and decomposition analysis of aggregate embodied energy and emission intensities"
"75","57","Decision analysis in energy and environmental modeling: An update"
