Scopus - 作者产出分析

"作者姓名:","Heckman, James J."
"Scopus 作者 ID:","7102737699"

"h-Index:","89"

"起始年份:","1974"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","2342","Matching As An Econometric Evaluation Estimator: Evidence from Evaluating a Job Training Programme"
"2","1728","Skill formation and the economics of investing in disadvantaged children"
"3","1631","Matching As An Econometric Evaluation Estimator"
"4","1475","The effects of cognitive and noncognitive abilities on labor market outcomes and social behavior"
"5","1373","Chapter 31 The economics and econometrics of active labor market programs"
"6","1072","Characterizing selection bias using experimental data"
"7","1058","The technology of skill formation"
"8","793","The economics and psychology of personality traits"
"9","681","Chapter 12 Interpreting the Evidence on Life Cycle Skill Formation"
"10","664","Policies to foster human capital"
"11","641","Estimating the technology of cognitive and noncognitive skill formation"
"12","583","Economic, neurobiological, and behavioral perspectives on building America's future workforce"
"13","582","The benefits of skill: The importance of noncognitive skills: Lessons from the GED testing program"
"14","567","Choosing among alternative nonexperimental methods for estimating the impact of social programs: The case of manpower training"
"15","557","Hard evidence on soft skills"
"16","535","Personality Psychology and Economics"
"17","530","Early childhood investments substantially boost adult health"
"18","520","Lab experiments are a major source of knowledge in the social sciences"
"19","516","Understanding the mechanisms through which an influential early childhood program boosted adult outcomes"
"20","513","Structural equations, treatment effects, and econometric policy evaluation"
"21","512","Formulating, identifying and estimating the technology of cognitive and noncognitive skill formation"
"22","508","Female labor supply: A survey"
"23","489","Detecting Discrimination"
"24","477","The rate of return to the HighScope Perry Preschool Program"
"25","477","Life cycle schooling and dynamic selection bias: Models and evidence for five cohorts of American males"
"26","474","Schools, skills, and synapses"
"27","474","The economics, technology, and neuroscience of human capability formation"
"28","432","The productivity argument for investing in young children"
"29","418","The evidence on credit constraints in post-secondary schooling"
"30","406","The dynamics of educational attainment for black, Hispanic, and white males"
"31","394","Using matching, instrumental variables, and control functions to estimate economic choice models"
"32","367","Instrumental variables: A study of implicit behavioral assumptions used in making program evaluations"
"33","365","Understanding instrumental variables in models with essential heterogeneity"
"34","362","Alternative methods for evaluating the impact of interventions. An overview"
"35","358","Making the Most out of Programme Evaluations and Social Experiments : Accounting for Heterogeneity in Programme Impacts"
"36","331","Gender differences in risk aversion and ambiguity aversion"
"37","331","Explaining Rising Wage Inequality: Explorations with a Dynamic General Equilibrium Model of Labor Earnings with Heterogeneous Agents"
"38","324","Econometric duration analysis"
"39","321","Chapter 7 Earnings Functions, Rates of Return and Treatment Effects: The Mincer Equation and Beyond"
"40","317","Micro data, heterogeneity, and the evaluation of public policy: Nobel lecture"
"41","307","Investing in early human development: Timing and economic efficiency"
"42","283","The nonequivalence of high school equivalents"
"43","274","Identification and estimation of hedonic models"
"44","263","Chapter 70 Econometric Evaluation of Social Programs, Part I: Causal Models, Structural Models and Econometric Policy Evaluation"
"45","258","Labor market returns to an early childhood stimulation intervention in Jamaica"
"46","249","The economics of human development and social mobility"
"47","244","Local instrumental variables and latent variable models for identifying and bounding treatment effects"
"48","243","The education-health gradient"
"49","242","The scientific model of causality"
"50","240","New methods for analyzing structural models of labor force dynamics"
"51","229","Causal parameters and policy analysis in economics: A twentieth century retrospective"
"52","225","Estimating distributions of treatment effects with an application to the returns to schooling and measurement of the effects of uncertainty on college choice"
"53","205","Chapter 8 Micro data and general equilibrium models"
"54","203","Linear probability models of the demand for attributes with an empirical application to estimating the preferences of legislators"
"55","202","The American high school graduation rate: Trends and levels"
"56","193","Estimating marginal returns to education"
"57","187","Separating uncertainty from heterogeneity in life cycle earnings"
"58","181","Chapter 71 Econometric Evaluation of Social Programs, Part II: Using the Marginal Treatment Effect to Organize Alternative Econometric Estimators to Evaluate Social Programs, and to Forecast their Effects in New Environments"
"59","180","The pre-programme earnings dip and the determinants of participation in a social programme. Implications for simple programme evaluation strategies"
"60","174","The identifiability of the competing risks model"
"61","171","The economics and psychology of inequality and human development"
"62","166","The effect of schooling and ability on achievement test scores"
"63","165","The Empirical Foundations of Calibration"
"64","164","Econometric causality"
"65","156","Determining the impact of federal antidiscrimination policy on the economic status of blacks: a study of South Carolina"
"66","152","Analyzing social experiments as implemented: A reexamination of the evidence from the highscope perry preschool program"
"67","152","Instrumental variables methods for the correlated random coefficient model. Estimating the average rate of return to schooling when the return is correlated with schooling"
"68","149","Building bridges between structural and program evaluation approaches to evaluating policy"
"69","144","The identifiability of the proportional hazard model"
"70","142","Three observations on wages and measured cognitive ability"
"71","134","Empirical evidence on the functional form of the earnings-schooling relationship"
"72","132","Four parameters of interest in the evaluation of social programs"
"73","130","Human capital pricing equations with an application to estimating the effect of schooling quality on earnings"
"74","129","Transcriptional modulation of the developing immune system by early life social adversity"
"75","126","Dynamic discrete choice and dynamic treatment effects"
"76","124","General-Equilibrium Treatment Effects: A Study of Tuition Policy"
"77","123","Selection bias, comparative advantage and heterogeneous returns to education: Evidence from China in 2000"
"78","121","China's human capital investment"
"79","115","Chapter 72 Econometric Evaluation of Social Programs, Part III: Distributional Treatment Effects, Dynamic Treatment Effects, Dynamic Discrete Choice, and General Equilibrium Policy Evaluation"
"80","107","Estimating treatment effects for discrete outcomes when responses to treatment vary: An application to Norwegian vocational rehabilitation programs"
"81","100","Identification of treatment effects using control functions in models with continuous, endogenous treatment and heterogeneous effects"
"82","100","Use of instrumental variables in the presence of heterogeneity and self-selection: An application to treatments of breast cancer patients"
"83","99","Sources of selection bias in evaluating social programs: An interpretation of conventional measures and evidence on the effectiveness of matching as a program evaluation method"
"84","96","Policy-relevant treatment effects"
"85","95","The performance of performance standards"
"86","93","Comparing IV with structural models: What simple IV can and cannot identify"
"87","93","Identifying Hedonic Models"
"88","92","What grades and achievement tests measure"
"89","91","Understanding the early origins of the education-health gradient: A framework that can also be applied to analyze gene-environment interactions"
"90","87","Identifying the role of cognitive ability in explaining the level of and change in the return to schooling"
"91","87","Substitution and dropout bias in social experiments: A study of an influential social experiment"
"92","85","Primate evidence on the late health effects of early-life adversity"
"93","85","The relationship between wages and income and the timing and spacing of births: evidence from Swedish longitudinal data."
"94","79","Assessing the Performance of Performance Standards in Public Bureaucracies"
"95","78","Identification problems in personality psychology"
"96","77","Labor market discrimination and racial differences in premarket factors"
"97","76","The determinants of participation in a social program: Evidence from a prototypical job training program"
"98","74","The Importance of Bundling in a Gorman-Lancaster Model of Earnings"
"99","72","Personality and economics: Overview and proposed framework"
"100","72","Adverse selection and moral hazard in insurance: Can dynamic data help to distinguish?"
"101","71","Publishing and promotion in economics: The tyranny of the top five"
"102","70","Tax Policy and Human-Capital Formation"
"103","68","Returns to education: The causal effects of education on earnings, health, and smoking"
"104","68","Simple estimators for treatment parameters in a latent-variable framework"
"105","60","The developmental origins of health"
"106","60","The relationship between treatment parameters within a latent variable framework"
"107","58","Bias-corrected estimates of GED returns"
"108","56","Early Health Shocks, Intra-household Resource Allocation and Child Outcomes"
"109","56","Accounting for dropouts in evaluations of social programs"
"110","56","Corrigendum on A Life Cycle Model of Female Labour Supply"
"111","55","Nonparametric identification and estimation of nonadditive hedonic models"
"112","54","The developmental approach to child and adult health"
"113","54","The American family in black &amp; white: A post-racial strategy for improving skills to promote equality"
"114","54","New evidence on the timing and spacing of births"
"115","53","The Scandinavian Fantasy: The Sources of Intergenerational Mobility in Denmark and the US"
"116","53","The Effects of Two Influential Early Childhood Interventions on Health and Healthy Behaviour"
"117","53","Bayesian exploratory factor analysis"
"118","53","Understanding black-white wage differentials, 1960-1990"
"119","53","Chapter 29 Econometric analysis of longitudinal data"
"120","52","Role of income and family influence on child outcomes"
"121","50","Child Development and Parental Investment: Introduction"
"122","50","Evaluating marginal policy changes and the average effect of treatment for individuals at the margin"
"123","49","Identifying and Estimating the Distributions of Ex Post and Ex Ante Returns to Schooling"
"124","47","China's investment in human capital"
"125","45","The schooling of southern blacks: The roles of legal activism and private philanthropy, 1910-1960"
"126","42","Estimating fecundability from data on waiting times to first conception"
"127","41","Rethinking education and training policy: Understanding the sources of skill formation in a modern economy"
"128","41","Do We Need Experimental Data To Evaluate the Impact of Manpower Training On Earnings?"
"129","38","A partial survey of recent research on the Labor supply of women"
"130","36","Economics of child well-being"
"131","36","Comment"
"132","35","Econometric Mediation Analyses: Identifying the Sources of Treatment Effects from Experimentally Estimated Production Technologies with Unmeasured and Mismeasured Inputs"
"133","33","A note on adapting propensity score matching and selection models to choice based samples"
"134","32","CAUSAL ANALYSIS after HAAVELMO"
"135","32","The GED"
"136","32","The identification and economic content of ordered choice models with stochastic thresholds"
"137","31","Socioeconomic status and genetic influences on cognitive development"
"138","29","Intergenerational long-term effects of preschool-structural estimates from a discrete dynamic programming model"
"139","29","Testing the mixture of exponentials hypothesis and estimating the mixing distribution by the method of moments"
"140","28","Testing the correlated random coefficient model"
"141","28","Econometric mixture models and more general models for unobservables in duration analysis."
"142","26","Sample selection bias as a specification error"
"143","25","Inequality in human capital and endogenous credit constraints"
"144","25","Estimation of dynamic discrete choice models by maximum likelihood and the simulated method of moments"
"145","25","A new cost-benefit and rate of return analysis for the perry preschool program: A summary"
"146","25","The case for investing in disadvantaged young children"
"147","25","Accounting for heterogeneity, diversity and general equilibrium in evaluating social programmes"
"148","25","Meritocracy in America: Wages within and across occupations"
"149","25","The third birth in Sweden"
"150","24","Comments on the Ashenfelter and Kydland papers"
"151","23","Investing in our young people"
"152","22","Dynamic treatment effects"
"153","22","The generalized Roy model and the cost-benefit analysis of social programs"
"154","22","The performance of performance standards"
"155","22","Rejoinder: Response to Sobel"
"156","22","Econometrics and empirical economics"
"157","22","Chapter 32 Labor econometrics"
"158","21","A new framework for the analysis of inequality"
"159","19","Quantifying the life-cycle benefits of an influential early-childhood program"
"160","19","Human Capital Formation and General Equilibrium Treatment Effects: A Study of Tax and Tuition Policy"
"161","18","Gender differences in the benefits of an influential early childhood program"
"162","18","Economic models of fertility dynamics: a study of Swedish fertility."
"163","17","Early skill formation and the efficiency of parental investment: A randomized controlled trial of home visiting"
"164","16","Early childhood education and crime"
"165","16","Lessons from the technology of skill formation"
"166","16","Learning-by-doing versus on-the-job training: Using variation induced by the EITC to distinguish between models of skill formation"
"167","15","Capabilities and Skills"
"168","15","Older siblings' contributions to young child's cognitive skills"
"169","14","The nonmarket benefits of education and ability"
"170","14","An assessment of causal inference in smoking initiation research and a framework for future research"
"171","14","The Value of Quantitative Evidence on the Effect of the Past on the Present"
"172","14","Forecasting aggregate period-specific birth rates: The time series properties of a microdynamic neoclassical model of fertility"
