Scopus - 作者产出分析

"作者姓名:","Nowak, Martin A."
"Scopus 作者 ID:","7201493023"

"h-Index:","130"

"起始年份:","1989"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","3383","Five rules for the evolution of cooperation"
"2","2888","Viral dynamics in human immunodeficiency virus type 1 infection"
"3","2854","Evolutionary games and spatial chaos"
"4","1955","Antibody neutralization and escape by HIV-1"
"5","1923","Habitat destruction and the extinction debt"
"6","1826","Distant metastasis occurs late during the genetic evolution of pancreatic cancer"
"7","1673","Evolution of indirect reciprocity by image scoring"
"8","1573","Quantitative analysis of culture using millions of digitized books"
"9","1557","Evolution of indirect reciprocity"
"10","1508","Presence of an inducible HIV-1 latent reservoir during highly active antiretroviral therapy"
"11","1387","A simple rule for the evolution of cooperation on graphs and social networks"
"12","1256","The molecular evolution of acquired resistance to targeted EGFR blockade in colorectal cancers"
"13","1248","Quantitation of HIV-1-specific cytotoxic T lymphocytes and plasma load of viral RNA"
"14","1097","A strategy of win-stay, lose-shift that outperforms tit-for-tat in the Prisoner's Dilemma game"
"15","1009","Late escape from an immunodominant cytotoxic T-lymphocyte response associated with progression to AIDS"
"16","953","Population dynamics of immune responses to persistent viruses"
"17","935","Potent suppression of HIV-1 replication in humans by T-20, a peptide inhibitor of gp41-mediated virus entry"
"18","910","Emergence of cooperation and evolutionary stability in finite populations"
"19","827","Evolutionary dynamics on graphs"
"20","821","Viral dynamics in hepatitis B virus infection"
"21","768","Evolutionary Dynamics of Biological Games"
"22","714","Spontaneous giving and calculated greed"
"23","705","Human cooperation"
"24","703","The evolution of eusociality"
"25","672","Tit for tat in heterogeneous populations"
"26","653","Dynamics of chronic myeloid leukaemia"
"27","632","Mutations driving CLL and their evolution in progression and relapse"
"28","603","Comparative lesion sequencing provides insights into tumor evolution"
"29","584","Evolution of cooperation by multilevel selection"
"30","567","Adaptive evolution of highly mutable loci in pathogenic bacteria"
"31","524","Superinfection and the evolution of parasite virulence"
"32","523","Accumulation of driver and passenger mutations during tumor progression"
"33","520","Fairness versus reason in the Ultimatum Game"
"34","519","Coevolution of strategy and structure in complex networks with dynamical linking"
"35","518","Via freedom to coercion: The emergence of costly punishment"
"36","496","Evolution of genetic redundancy"
"37","485","Virus dynamics and drug therapy"
"38","471","Reputation-based partner choice promotes cooperation in social networks"
"39","470","Winners don't punish"
"40","447","Positive interactions promote public cooperation"
"41","433","HIV-1 Vpr increases viral expression by manipulation of the cell cycle: A mechanism for selection of Vpr in vivo"
"42","427","Antigenic diversity thresholds and the development of AIDS"
"43","422","Social heuristics shape intuitive cooperation"
"44","400","Stochastic dynamics of invasion and fixation"
"45","399","The significance of unstable chromosomes in colorectal cancer"
"46","395","Evolutionary dynamics of cancer in response to targeted combination therapy"
"47","391","Reward and punishment"
"48","387","The dynamics of indirect reciprocity"
"49","380","The role of chromosomal instability in tumor initiation"
"50","340","Viral dynamics in vivo: Limitations on estimates of intracellular delay and virus decay"
"51","339","HLA alleles determine human T-lymphotropic virus-I (HTLV-I) proviral load and the risk of HTLV-I-associated myelopathy"
"52","327","Decay kinetics of human immunodeficiency virus-specifiic effector cytotoxic T lymphocytes after combination antiretroviral therapy"
"53","323","Spatial games and the maintenance of cooperation"
"54","320","Evolutionary dynamics in structured populations"
"55","317","The evolution of language"
"56","307","Evolutionary game dynamics in finite populations"
"57","303","Dynamics of cancer progression"
"58","301","Coinfection and the evolution of parasite virulence"
"59","296","Genetic progression and the waiting time to cancer"
"60","293","Antigenic oscillations and shifting immunodominance in HIV-1 infections"
"61","282","A spatial model predicts that dispersal and cell turnover limit intratumour heterogeneity"
"62","270","Computational and evolutionary aspects of language"
"63","268","The replicator equation on graphs"
"64","266","Imitation dynamics of vaccination behaviour on social networks"
"65","264","Evolution of universal grammar"
"66","260","The evolution of virulence in pathogens with vertical and horizontal transmission"
"67","259","Evolutionary cycles of cooperation and defection"
"68","245","Role of CD8<sup>+</sup> lymphocytes in control of simian immunodeficiency virus infection and resistance to rechallenge after transient early antiretroviral treatment"
"69","240","Compromised influenza virus-specific CD8<sup>+</sup>-T-cell memory in CD4<sup>+</sup>-T-cell-deficient mice"
"70","238","Pairwise comparison and selection temperature in evolutionary game dynamics"
"71","236","Indirect reciprocity provides only a narrow margin of efficiency for costly punishment"
"72","236","Viral dynamics of primary viremia and antiretroviral therapy in simian immunodeficiency virus infection"
"73","234","Origins of lymphatic and distant metastases in human colorectal cancer"
"74","230","Quantifying the evolutionary dynamics of language"
"75","221","Only three driver gene mutations are required for the development of lung and colorectal cancers"
"76","221","The extent of early viral replication is a critical determinant of the natural history of simian immunodeficiency virus infection"
"77","219","Clonal evolution in patients with chronic lymphocytic leukaemia developing resistance to BTK inhibition"
"78","218","Error thresholds of replication in finite populations mutation frequencies and the onset of muller's ratchet"
"79","217","Limited heterogeneity of known driver gene mutations among the metastases of individual patients with pancreatic cancer"
"80","217","Breaking the symmetry between interaction and replacement in evolutionary dynamics on graphs"
"81","216","The evolution of antisocial punishment in optional public goods games"
"82","209","Synergy and discounting of cooperation in social dilemmas"
"83","207","The evolution of syntactic communication"
"84","207","The evolution of stochastic strategies in the Prisoner's Dilemma"
"85","205","Specific therapy regimes could lead to long-term immunological control of HIV"
"86","204","The optimal number of major histocompatibility complex molecules in an individual"
"87","203","Evolutionary dynamics on any population structure"
"88","202","Anti-viral drug treatment: Dynamics of resistance in free virus and infected cell populations"
"89","198","Humans display a 'cooperative phenotype' that is domain general and temporally stable"
"90","193","Exploration dynamics in evolutionary games"
"91","193","Active linking in evolutionary games"
"92","193","Mathematical models of HIV pathogenesis and treatment"
"93","193","Unifying evolutionary dynamics"
"94","184","Upstream reciprocity and the evolution of gratitude"
"95","182","Determinants of human immunodeficiency virus type 1 escape from the primary CD8<sup>+</sup> cytotoxic T lymphocyte response"
"96","182","Constant mean viral copy number per infected cell in tissues regardless of high, low, or undetectable plasma HIV RNA"
"97","180","Strategy selection in structured populations"
"98","180","The population dynamics of vertically and horizontally transmitted parasites"
"99","178","Evolution of extortion in Iterated Prisoner's Dilemma games"
"100","177","Cooperating with the future"
"101","177","Evolutionary games on cycles"
"102","177","Stochastic Tunnels in Evolutionary Dynamics"
"103","176","The logic of indirect speech"
"104","176","Quantifying the kinetic parameters of prion replication"
"105","175","Predicting the outcomes of treatment to eradicate the latent reservoir for HIV-1"
"106","174","Evolutionary dynamics in set structured populations"
"107","170","Evolution of cooperation by phenotypic similarity"
"108","169","Evolutionary game dynamics in a Wright-Fisher process"
"109","169","Evolution of resistance during clonal expansion"
"110","167","Emotions as infectious diseases in a large social network: The SISa model"
"111","165","Static network structure can stabilize human cooperation"
"112","164","Evolving cooperation"
"113","158","Superinfection, metapopulation dynamics, and the evolution of diversity"
"114","155","Another battle of the sexes: The consequences of sexual asymmetry in mating costs and predation risk in the guppy, Poecilia reticulata"
"115","154","Predicting species diversity in tropical forests"
"116","152","Mathematical biology of HIV infections: antigenic variation and diversity threshold"
"117","149","Containment of simian immunodeficiency virus infection: Cellular immune responses and protection from rechallenge following transient postinoculation antiretroviral treatment"
"118","147","Evolution of fairness in the one-shot anonymous Ultimatum Game"
"119","147","Human immunodeficiency virus drug therapy and virus load"
"120","144","Powering up with indirect reciprocity in a large-scale field experiment"
"121","142","Evolution of in-group favoritism"
"122","140","Minimal functional driver gene heterogeneity among untreated metastases"
"123","140","Mutation-selection networks of cancer initiation: Tumor suppressor genes and chromosomal instability"
"124","138","Evolutionary origins and maintenance of redundant gene expression during metazoan development"
"125","137","Direct reciprocity in structured populations"
"126","137","Can chromosomal instability initiate tumorigenesis?"
"127","135","Infectious disease modeling of social contagion in networks"
"128","131","What is a quasispecies?"
"129","131","The evolutionary dynamics of HIV-1 quasispecies and the development of immunodeficiency disease"
"130","130","Evolutionary graph theory: Breaking the symmetry between interaction and replacement"
"131","129","Spatial dynamics of ecological public goods"
"132","129","The spatial ultimatum game"
"133","128","The linear process of somatic evolution"
"134","125","Pre-existence and emergence of drug resistance in HIV-1 infection"
"135","123","The evolutionary language game"
"136","122","Adherence and drug resistance: Predictions for therapy outcome"
"137","121","Analytical results for individual and group selection of any intensity"
"138","120","Causes of HIV diversity"
"139","118","The alternating prisoner’s dilemma"
"140","117","Evolution of virulence in a heterogeneous host population"
"141","114","Direct reciprocity with costly punishment: Generous tit-for-tat prevails"
"142","114","The frequency of resistant mutant virus before antiviral therapy"
"143","113","Antiretroviral dynamics determines HIV evolution and predicts therapy outcome"
"144","112","Tit-for-tat or win-stay, lose-shift?"
"145","111","Transforming the dilemma"
"146","108","Evolutionary game dynamics in finite populations with strong selection and weak mutation"
"147","108","Dynamics of colorectal cancer"
"148","108","Evolutionary game theory"
"149","107","The continuous Prisoner's Dilemma: I. Linear reactive strategies"
"150","105","Periodic and chaotic host-parasite interactions in human malaria"
"151","104","The timetable of evolution"
"152","104","Mutation-selection equilibrium in games with multiple strategies"
"153","104","Competition between zidovudine-sensitive and zidovudine-resistant strains of HIV"
"154","103","Mutation and the evolution of virulence"
