Scopus - 作者产出分析

"作者姓名:","Pedersen, Lasse Heje"
"Scopus 作者 ID:","7201717879"

"h-Index:","31"

"起始年份:","2002"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1726","Market liquidity and funding liquidity"
"2","1104","Asset pricing with liquidity risk"
"3","874","Value and Momentum Everywhere"
"4","628","Betting against beta"
"5","532","Time series momentum"
"6","514","Measuring systemic risk"
"7","454","How sovereign is sovereign credit risk?"
"8","411","Carry trades and currency crashes"
"9","392","Over-the-counter markets"
"10","291","Demand-based option pricing"
"11","264","Liquidity and asset prices"
"12","260","Predatory trading"
"13","244","Securities lending, shorting, and pricing"
"14","198","Valuation in over-the-counter markets"
"15","193","Margin-based asset pricing and deviations from the law of one price"
"16","171","Dynamic Trading with Predictable Returns and Transaction Costs"
"17","169","Slow moving capital"
"18","168","Modeling Sovereign Yield Spreads: A Case Study of Russian Debt"
"19","111","Leverage aversion and risk parity"
"20","96","Quality minus junk"
"21","90","Risk Everywhere: Modeling and managing volatility"
"22","83","Carry"
"23","76","Liquidity and risk management"
"24","58","A century of evidence on trend-following investing"
"25","50","Size matters, if you control your junk"
"26","49","Two monetary tools: Interest rates and Haircuts"
"27","44","Responsible investing: The ESG-efficient frontier"
"28","44","Efficiently inefficient: How smart money invests and market prices are determined"
"29","43","Dynamic portfolio choice with frictions"
"30","37","Low-risk investing without industry bets"
"31","35","Adverse selection and the required return"
"32","26","Which trend is your friend?"
"33","25","Betting against correlation: Testing theories of the low-risk effect"
"34","25","Efficiently Inefficient Markets for Assets and Asset Management"
"35","17","Buffett’s Alpha"
"36","15","Early option exercise: Never say never"
"37","14","Sharpening the arithmetic of active management"
"38","11","Generalized recovery"
"39","9","Taxing Systemic Risk"
"40","5","Regulating Systemic Risk"
"41","4","Hedge Funds in the Aftermath of the Financial Crisis"
"42","3","Enhanced Portfolio Optimization"
"43","2","Embedded Leverage"
"44","2","Fact and Fiction about Low-Risk Investing"
"45","2","Economics with market liquidity risk"
"46","2","Regulating systemic risk: Chapter 13: Executive summary"
"47","1","Deep Value"
"48","1","""Will my risk parity strategy outperform?"": A comment"
"49","1","Hedge funds in the aftermath of the financial crisis: Chapter 6: Executive summary"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
