Scopus - 作者产出分析

"作者姓名:","Zhou, Kevin Zheng"
"Scopus 作者 ID:","7202914654"

"h-Index:","42"

"起始年份:","2002"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1001","The effects of strategic orientations on technology- and market-based breakthrough innovations"
"2","693","The effects of business and political ties on firm performance: Evidence from China"
"3","647","Technological capability, strategic flexibility, and product innovation"
"4","543","How knowledge affects radical innovation: Knowledge base, market knowledge acquisition, and internal knowledge sharing"
"5","525","Do managerial ties in China always produce value? Competition, uncertainty, and domestic vs. foreign firms"
"6","522","Development and validation of an instrument to measure user perceived service quality of information presenting Web portals"
"7","336","State Ownership and Firm Innovation in China: An Integrated View of Institutional and Efficiency Logics"
"8","327","Relational mechanisms, formal contracts, and local knowledge acquisition by international subsidiaries"
"9","298","Exchange hazards, relational reliability, and contracts in China: The contingent role of legal enforceability"
"10","292","Alternative origins to interorganizational trust: An interdependence perspective on the shadow of the past and the shadow of the future"
"11","288","How strategic orientations influence the building of dynamic capability in emerging economies"
"12","254","Innovation, imitation, and new product performance: The case of China"
"13","248","Market orientation, competitive advantage, and performance: A demand-based perspective"
"14","239","Face Consciousness and Risk Aversion: Do They Affect Consumer Decision-Making?"
"15","206","Market orientation, job satisfaction, product quality, and firm performance: Evidence from China"
"16","206","Developing strategic orientation in China: Antecedents and consequences of market and innovation orientations"
"17","198","When can you trust “trust”? Calculative trust, relational trust, and supplier performance"
"18","194","Competitive position, managerial ties, and profitability of foreign firms in China: An interactive perspective"
"19","170","How foreign firms curtail local supplier opportunism in China: Detailed contracts, centralized control, and relational governance"
"20","162","Are relational ties always good for knowledge acquisition? Buyer-supplier exchanges in China"
"21","149","Examining the conditional limits of relational governance: Specialized assets, performance ambiguity, and long-standing ties"
"22","147","How foreign firms achieve competitive advantage in the Chinese emerging economy: Managerial ties and market orientation"
"23","145","How Green Management Influences Product Innovation in China: The Role of Institutional Benefits"
"24","130","Relational ties or customized contracts? An examination of alternative governance choices in China"
"25","124","The effects of customer and competitor orientations on performance in global markets: A contingency analysis"
"26","122","On what should firms focus in transitional economies? A study of the contingent value of strategic orientations in China"
"27","121","Organizational changes in emerging economies: Drivers and consequences"
"28","107","Managing contracts for fairness in buyer-supplier exchanges"
"29","93","How does technological diversity in supplier network drive buyer innovation? Relational process and contingencies"
"30","91","Broadening the foreign market entry mode decision: Separating ownership and control"
"31","89","How Does Environmental Corporate Social Responsibility Matter in a Dysfunctional Institutional Environment? Evidence from China"
"32","89","How does strategic orientation matter in Chinese firms?"
"33","87","Deviant versus aspirational risk taking: The effects of performance feedback on bribery expenditure and R&amp;D intensity"
"34","81","A paradox of price-quality and market efficiency: A comparative study of the US and China markets"
"35","79","NPD speed vs. innovativeness: The contingent impact of institutional and market environments"
"36","77","External learning, market dynamics, and radical innovation: Evidence from China's high-tech firms"
"37","75","Environmental Strategy, Institutional Force, and Innovation Capability: A Managerial Cognition Perspective"
"38","70","The evolving role of managerial ties and firm capabilities in an emerging economy: evidence from China"
"39","59","Is product imitation good for firm performance? An examination of product imitation types and contingency factors"
"40","52","How do enhanced and unique features affect new product preference? the moderating role of product familiarity"
"41","51","Institutions and opportunism in buyer–supplier exchanges: the moderated mediating effects of contractual and relational governance"
"42","48","Governing interfirm knowledge transfer in the Chinese market: The interplay of formal and informal mechanisms"
"43","37","Network-based market knowledge and product innovativeness"
"44","36","Customer orientation or competitor orientation: Which marketing strategy has a higher payoff for hotel brands?"
"45","33","A contingent view of partner coopetition in international joint ventures"
"46","31","Exploitation and exploration in international joint ventures: Moderating effects of partner control imbalance and product similarity"
"47","30","Technological capability growth and performance outcome: Foreign versus local firms in China"
"48","30","Active trust development of local senior managers in international subsidiaries"
"49","29","Product newness and product performance in new ventures: Contingent roles of market knowledge breadth and tacitness"
"50","29","Strategic orientation, foreign parent control, and differentiation capability building of international joint ventures in an emerging market"
"51","28","Suppressing partner opportunism in emerging markets: Contextualizing institutional forces in supply chain management"
"52","28","Global brand expansion: How to select a market entry strategy"
"53","22","How Can International Ventures Utilize Marketing Capability in Emerging Markets? Its Contingent Effect on New Product Development"
"54","22","Supply chain management in emerging markets"
"55","21","How to enhance supplier performance in China: An integrative view of partner selection and partner control"
"56","20","Institutional forces and customer participation in new product development: A Yin-Yang perspective"
"57","20","Government role, governance mechanisms, and foreign partner opportunism in IJVs"
"58","18","Stakeholder Relationship Capability and Firm Innovation: A Contingent Analysis"
"59","17","How do incentives motivate absorptive capacity development? The mediating role of employee learning and relational contingencies"
"60","17","Harmonizing conflict in husband-wife purchase decision making: Perceived fairness and spousal influence dynamics"
"61","16","Does customer participation hurt new product development performance? Customer role, product newness, and conflict"
"62","16","Introduction to the special issue on ""innovation in and from emerging economies"""
"63","15","Interpersonal guanxi and partner extra-role behavior: Mediating role of relational and transactional governance strategy"
"64","15","The emerging research on indigenous management in Asia"
"65","13","Employee's perceptions of market orientation in a transitional economy: China as an example"
"66","12","Untangling the safeguarding and coordinating functions of contracts: Direct and contingent value in China"
"67","11","E-platform use and exporting in the context of Alibaba: A signaling theory perspective"
"68","10","Inter-partner control, trust, and radical innovation of IJVs in China: A contingent governance perspective"
"69","8","The Origins of Trust Asymmetry in International Relationships: An Institutional View"
"70","7","How does human capital foster product innovation? The contingent roles of industry cluster features"
"71","7","Social alienation in a transitional economy: Antecedents and impact on attitude toward social reform"
"72","6","Is Interpersonal Guanxi Beneficial in Fostering Interfirm Trust? The Contingent Effect of Institutional- and Individual-Level Characteristics"
"73","6","How managerial ties affect hotels’ proactive environmental practices in China: The contingent role of institutional environments"
"74","5","Strategic consensus of market orientation: a transitional economy perspective"
"75","3","State ownership of Chinese firms and their outward foreign direct investment: Political and economic contingencies"
"76","2","Belt and Road Initiative, globalization and institutional changes: implications for firms in Asia"
"77","2","Erratum: Technological capability, strategic flexibility, and product innovation (Strategic Management Journal (2010) 31:5 (547-561))"
"78","1","Is Ambidextrous Innovation Strategy Beneficial to International Joint Venture Performance? Evidence from China"
"79","0","Drinking poison to quench thirst: Does bribery foster firm performance in China?"
"80","0","Performance feedback and export intensity of Chinese private firms: Moderating roles of institution-related factors"
"81","0","Loose lips sink ships: The double-edged effect of distributor voice on channel relationship performance"
"82","0","Green Practices and Customer Evaluations of the Service Experience: The Moderating Roles of External Environmental Factors and Firm Characteristics"
"83","0","Is failure the mother of success? Prior failure experience and cross-border M&amp;A completion by emerging market firms"
"84","0","Financial munificence, R&amp;D intensity, and new venture survival: critical roles of CEO attributes"
"85","0","When more is better: a contingent view of alliance partner multiplicity and a focal firm’s product innovation performance in China"
"86","0","The dynamic interplay of contracts and trust: Untangling between- and within-dyad effects"
"87","0","Dyadic governance: Joint trust, trust asymmetry, and exchange performance"
"88","0","Are relational ties always good for knowledge acquisition? Buyer-supplier exchanges in China"
"89","0","Cultural change and buyer behavior in China"
"90","0","A contingency view of external learning and radical innovation in Chinese high-tech industry"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
