Scopus - 作者产出分析

"作者姓名:","Wright, Mike T."
"Scopus 作者 ID:","7401558861"

"h-Index:","104"

"起始年份:","1980"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","2518","Strategy in emerging economies"
"2","1551","The resource-based view of the firm: Ten years after 1991"
"3","1283","Strategy research in emerging economies: Challenging the conventional wisdom"
"4","742","The future of resource-based theory: Revitalization or decline?"
"5","691","The internationalization of new and small firms: A resource-based view"
"6","640","Critical junctures in the development of university high-tech spinout companies"
"7","588","Entrepreneurial innovation: The importance of context"
"8","496","Resources, capabilities, risk capital and the creation of university spin-out companies"
"9","470","Emerging Multinationals from Mid-Range Economies: The Influence of Institutions and Factor Markets"
"10","462","30 years after Bayh-Dole: Reassessing academic entrepreneurship"
"11","462","Science parks and incubators: Observations, synthesis and future research"
"12","443","Spinning out new ventures: A typology of incubation strategies from European research institutions"
"13","442","Entrepreneurship's next act"
"14","392","Novice, portfolio, and serial founders: Are they different?"
"15","378","The extent and nature of opportunity identification by experienced entrepreneurs"
"16","377","Opportunity identification and pursuit: Does an entrepreneur's human capital matter?"
"17","375","Exploring the role of government involvement in outward FDI from emerging economies"
"18","369","New financial alternatives in seeding entrepreneurship: Microfinance, crowdfunding, and peer-to-peer innovations"
"19","364","Academic Entrepreneurship in Europe"
"20","363","Technology transfer offices and commercialization of university intellectual property: Performance and policy implications"
"21","361","From human capital to social capital: A longitudinal study of technology-based academic entrepreneurs"
"22","360","Creating value in ecosystems: Crossing the chasm between knowledge and business ecosystems"
"23","350","Transnational entrepreneurship: An emergent field of study"
"24","347","Contextualization and the advancement of entrepreneurship research"
"25","339","Digital affordances, spatial affordances, and the genesis of entrepreneurial ecosystems"
"26","334","The export orientation and export performance of high-technology SMEs in emerging markets: The effects of knowledge transfer by returnee entrepreneurs"
"27","323","The digital transformation of innovation and entrepreneurship: Progress, challenges and key themes"
"28","322","University spin-out companies and venture capital"
"29","321","The creation of spin-off firms at public research institutions: Managerial and policy implications"
"30","320","Academic and surrogate entrepreneurs in university spin-out companies"
"31","317","Venture capital and private equity: A review and synthesis"
"32","301","Mid-range universities' linkages with industry: Knowledge types and the role of intermediaries"
"33","295","Technology Transfer and Universities' Spin-Out Strategies"
"34","294","Social Capital and Entrepreneurship: A Schema and Research Agenda"
"35","292","Assessing the relative performance of U.K. university technology transfer offices: Parametric and non-parametric evidence"
"36","289","Conceptualising the heterogeneity of research-based spin-offs: A multi-dimensional taxonomy"
"37","279","The Evolution of Entrepreneurial Competencies: A Longitudinal Study of University Spin-Off Venture Emergence"
"38","268","The nature of entrepreneurial experience, business failure and comparative optimism"
"39","267","Academic Entrepreneurship: Time for a Rethink?"
"40","259","The ability and willingness paradox in family firm innovation"
"41","259","The Structure and Management of Alliances: Syndication in the Venture Capital Industry"
"42","249","International experience and FDI location choices of Chinese firms: The moderating effects of home country government support and host country institutions"
"43","246","Governance, ownership structure, and performance of IPO firms: The impact of different types of private equity investors and institutional environments"
"44","242","Research and technology commercialization"
"45","241","Understanding a new generation incubation model: The accelerator"
"46","228","How do threshold firms sustain corporate entrepreneurship? The role of boards and absorptive capacity"
"47","223","Entrepreneurship and university technology transfer"
"48","211","Decisions, actions, and performance: Do novice, serial, and portfolio entrepreneurs differ?"
"49","209","Corporate entrepreneurship: Current research and future directions"
"50","209","Internationalization of small and medium-sized enterprises (SMEs) and international entrepreneurship: A critique and policy implications"
"51","208","Assessing the impact of university science parks on research productivity: Exploratory firm-level evidence from the United Kingdom"
"52","206","Entrepreneurial growth through privatization: The upside of management buyouts"
"53","205","The contingent value of corporate political ties"
"54","199","Entrepreneurial team development in academic spinouts: An examination of team heterogeneity"
"55","198","The effectiveness of university knowledge spillovers: Performance differences between university spinoffs and corporate spinoffs"
"56","198","Private equity, leveraged buyouts and governance"
"57","197","Innovation through tradition: Lessons from innovative family businesses and directions for future research"
"58","195","Determinants of required return in venture capital investments: A five-country study"
"59","193","The rise of entrepreneurial activity at universities: Organizational and societal implication"
"60","183","Venture capitalists and serial entrepreneurs"
"61","176","Serial Crowdfunding, Social Capital, and Project Success"
"62","176","Returnee entrepreneurs, knowledge spillovers and innovation in high-tech firms in emerging economies"
"63","168","Returnee entrepreneurs, science park location choice and performance: An analysis of high-technology SMEs in China"
