Scopus - 作者产出分析

"作者姓名:","Parker, S. K."
"Scopus 作者 ID:","7401647326"

"h-Index:","51"

"起始年份:","1993"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1202","A new model of work role performance: Positive behavior in uncertain and interdependent contexts"
"2","983","Modeling the antecedents of proactive behavior at work"
"3","851","Making things happen: A model of proactive motivation"
"4","690","Taking stock: Integrating and differentiating multiple proactive behaviors"
"5","615","Enhancing role breadth self-efficacy: The roles of job enrichment and other organizational interventions"
"6","335","The demands-control model of job strain: A more specific test"
"7","319","Seeing another viewpoint: Antecedents and outcomes of employee perspective taking"
"8","311","Future work design research and practice: Towards an elaborated model of work design"
"9","309","Getting credit for proactive behavior:supervisor reactions depend on what you value and how you feel"
"10","300","""That's not my job"": Developing flexible employee work orientations"
"11","288","Minimizing strain and maximizing learning: The role of job demands, job control, and proactive personality"
"12","277","Beyond motivation: Job and work design for development, health, ambidexterity, and more"
"13","264","Future work selves: How salient hoped-for identities motivate proactive career behaviors"
"14","256","Longitudinal effects of lean production on employee outcomes and the mediating role of work characteristics"
"15","256","Designing a safer workplace: importance of job autonomy, communication quality, and supportive supervisors."
"16","178","Leader Vision and the Development of Adaptive and Proactive Performance: A Longitudinal Study"
"17","171","Fuel of the self-starter: How mood relates to proactive goal regulation"
"18","168","Need for Cognition as an Antecedent of Individual Innovation Behavior"
"19","167","From passive to proactive motivation: The importance of flexible role orientations and role breadth self-efficacy"
"20","158","One hundred years of work design research: Looking back and looking forward"
"21","153","Achieving Effective Remote Working During the COVID-19 Pandemic: A Work Design Perspective"
"22","137","Reorienting job crafting research: A hierarchical structure of job crafting concepts and integrative review"
"23","134","The Role of Leader Support in Facilitating Proactive Work Behavior: A Perspective From Attachment Theory"
"24","134","Rushed, unhappy, and drained: an experience sampling study of relations between time pressure, perceived control, mood, and emotional exhaustion in a group of accountants."
"25","133","Understanding individual compassion in organizations: The role of appraisals and psychological flexibility"
"26","125","Work engagement accumulation of task, social, personal resources: A three-wave structural equation model"
"27","123","Effect of temporary contracts on perceived work characteristics and job strain: A longitudinal study"
"28","121","Work characteristics and employee well-being within a context of strategic downsizing."
"29","112","Understanding active psychological states: Embedding engagement in a wider nomological net and closer attention to performance"
"30","110","Four-quadrant investigation of job-related affects and behaviours"
"31","96","Correlates of Employee Attitudes Toward Functional Flexibility"
"32","93","Entrepreneurial Behavior in Organizations: Does Job Design Matter?"
"33","93","'That is my job': How employees' role orientation affects their job performance"
"34","91","Promoting role breadth self-efficacy through involvement, work redesign and training"
"35","82","Proactively performing teams: The role of work design, transformational leadership, and team composition"
