Scopus - 作者产出分析

"作者姓名:","Meyer, Klaus E."
"Scopus 作者 ID:","7401793822"

"h-Index:","49"

"起始年份:","1995"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1105","Institutions, resources, and entry strategies in emerging economies"
"2","700","Multinational Enterprises and Local Contexts: The Opportunities and Challenges of Multiple Embeddedness"
"3","560","Probing theoretically into Central and Eastern Europe: Transactions, resources, and institutions"
"4","523","Perspectives on multinational enterprises in emerging economies"
"5","495","Institutions, transaction costs, and entry mode choice in Eastern Europe"
"6","433","Foreign investment strategies and sub-national institutions in emerging markets: Evidence from Vietnam"
"7","399","When and where does foreign direct investment generate positive spillovers A meta-analysis"
"8","371","Theoretical foundations of emerging economy business research"
"9","356","Foreign investment location and institutional development in transition economies"
"10","276","Asian management research needs more self-confidence"
"11","250","Linking Theory and Context: 'Strategy Research in Emerging Economies' after Wright etal. (2005)"
"12","238","Organizational transformation in transition economies: Resource-based and organizational learning perspectives"
"13","226","Conventional and reverse knowledge flows in multinational corporations"
"14","210","Overcoming distrust: How state-owned enterprises adapt their foreign entries to institutional pressures abroad"
"15","185","Spillovers of technology transfer from FDI: The case of Estonia"
"16","182","The impact of institutional and human resource distance on international entry strategies"
"17","160","Extending the internationalization process model: Increases and decreases of MNE commitment in emerging economies"
"18","159","Brownfield entry in emerging markets"
"19","157","What drives firms' intent to seek strategic assets by foreign direct investment? A study of emerging economy firms"
"20","147","What's in a p? Reassessing best practices for conducting and reporting hypothesis-testing research"
"21","144","Research notes and commentaries managing knowledge in foreign entry strategies: A resource-based analysis"
"22","132","Country-of-origin and industry FDI agglomeration of foreign investors in an emerging economy"
"23","123","Networks, serendipity and SME entry into Eastern Europe"
"24","114","Home country institutions and the internationalization of state owned enterprises: A cross-country analysis"
"25","112","Business groups' outward FDI: A managerial resources perspective"
"26","102","The dynamics of emerging economy MNEs: How the internationalization process model can guide future research"
"27","99","Building dynamic capabilities of adaptation and innovation: A study of micro-foundations in a transition economy"
"28","99","Market Penetration and Acquisition Strategies for Emerging Economies"
"29","94","International business and institutional development in Central and Eastern Europe"
"30","92","Globalfocusing: From domestic conglomerates to global specialists"
"31","88","Managing the MNE subsidiary: Advancing a multi-level and dynamic research agenda"
"32","86","Diplomatic and corporate networks: Bridges to foreign locations"
"33","85","What is “strategic asset seeking FDI”?"
"34","79","Process perspectives in international business research in CEE"
"35","78","Stages of organizational transformation in transition economies: A dynamic capabilities approach"
"36","76","Export propensity and intensity of subsidiaries in emerging economies"
"37","75","Post-acquisition restructuring as evolutionary process"
"38","72","Contextualizing experience effects in international business: A study of ownership strategies"
"39","64","Subsidiary research and development, and the local environment"
"40","59","Boundary spanners, HRM practices, and reverse knowledge transfer: The case of Chinese cross-border acquisitions"
"41","57","Internationalization as an evolutionary process"
"42","57","Management challenges in privatization acquisitions in transition economies"
"43","55","Leadership Experience Meets Ownership Structure: Returnee Managers and Internationalization of Emerging Economy Firms"
"44","54","Managing talent in emerging economy multinationals: integrating strategic management and human resource management"
"45","54","Context in management research in emerging economies"
"46","51","Emerging Economy MNEs: How does home country munificence matter?"
"47","51","International business in an era of anti-globalization"
"48","51","Business under adverse home country institutions: The case of international sanctions against Myanmar"
"49","50","Exploitation and exploration learning and the development of organizational capabilities: A cross-case analysis of the Russian oil industry"
"50","49","MNE Subsidiaries’ Outsourcing and InSourcing of R&amp;D: The Role of Local Institutions"
"51","49","Asian contexts and the search for general theory in management research: A rejoinder"
"52","46","Contextualising organisational learning: Lyles and Salk in the context of their research"
"53","41","Innovation Offshoring, Institutional Context and Innovation Performance: A Meta-Analysis"
"54","39","Foreign direct investment in the early years of economic transition: a survey"
"55","37","The home country of the MNE: The case of emerging economy firms"
"56","35","Integration and responsiveness in subsidiaries in emerging economies"
"57","26","Corporate political connections in global strategy"
"58","26","The slow growth of foreign direct investment in the Soviet Union successor states"
"59","25","Competitive dynamics in an emerging economy: Competitive pressures, resources, and the speed of action"
"60","24","Relational capabilities in Thai buyer-supplier relationships"
"61","23","Where do MNEs locate their headquarters? At home!"
"62","23","Motivating, testing, and publishing curvilinear effects in management research"
