Scopus - 作者产出分析

"作者姓名:","Luo, Yadong"
"Scopus 作者 ID:","7404332342"

"h-Index:","69"

"起始年份:","1995"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1766","International expansion of emerging market enterprises: A springboard perspective"
"2","1754","Managerial ties and firm performance in a transition economy: The nature of a micro-macro link"
"3","1240","Guanxi and organizational dynamics: Organizational networking in Chinese firms"
"4","636","How emerging market governments promote outward FDI: Experience from China"
"5","572","Learning to compete in a transition economy: Experience, environment, and performance"
"6","494","Contract, cooperation, and performance in international joint ventures"
"7","492","Governing buyer-supplier relationships through transactional and relational mechanisms: Evidence from China"
"8","405","Transaction cost determinants and ownership-based entry mode choice: A meta-analytical review"
"9","377","Industrial dynamics and managerial networking in an emerging market: The case of China"
"10","314","A coopetition perspective of global competition"
"11","312","Guanxi and organizational performance: A meta-analysis"
"12","299","Guanxi: Principles, philosophies, and implications"
"13","294","Dynamic capabilities in international expansion"
"14","260","Are joint venture partners more opportunistic in a more volatile environment?"
"15","256","An ambidexterity perspective toward multinational enterprises from emerging economies"
"16","249","Determinants of entry in an emerging economy: A multilevel approach"
"17","242","From ""distance"" to ""friction"": substituting metaphors and redirecting intercultural research"
"18","229","Strategic alignment and performance of market-seeking MNCS in China"
"19","228","Market-seeking MNEs in an emerging market: How parent-subsidiary links shape overseas success"
"20","219","Toward coopetition within a multinational enterprise: A perspective from foreign subsidiaries"
"21","218","Partner Selection and Venturing Success: The Case of Joint Ventures with Firms in the People's Republic of China"
"22","215","Toward a cooperative view of MNC-host government relations: Building blocks and performance implications"
"23","213","A general theory of springboard MNEs"
"24","208","West meets East: New concepts and theories"
"25","207","How does justice matter in achieving buyer-supplier relationship performance?"
"26","207","Capability exploitation and building in a foreign market: Implications for multinational enterprises"
"27","206","The independent and interactive roles of procedural, distributive, and interactional justice in strategic alliances"
"28","202","The multinational corporation as a multilingual community: Language and organization in a global context"
"29","201","Does guanxi influence firm performance?"
"30","197","Creating competitive advantages through new value creation: A reverse logistics perspective"
"31","194","Antecedents and consequences of personal attachment in cross-cultural cooperative ventures"
"32","184","A dual parent perspective on control and performance in international joint ventures: Lessons from a developing economy"
"33","170","Political behavior, social responsibility, and perceived corruption: A structuration perspective"
"34","164","Building trust in cross-cultural collaborations: Toward a contingency perspective"
"35","163","An Organizational Perspective of Corruption"
"36","161","Procedural fairness and interfirm cooperation in strategic alliances"
"37","149","How important are shared perceptions of procedural justice in cooperative alliances?"
"38","148","Emerging economy copycats: Capability, environment, and strategy"
"39","148","Opportunism in Inter-firm Exchanges in Emerging Markets"
"40","138","Mitigating liabilities of foreignness: Defensive versus offensive approaches"
"41","131","Transactional characteristics, institutional environment and joint venture contracts"
"42","131","Determinants of local responsiveness: Perspectives from foreign subsidiaries in an emerging market"
"43","122","Emerging Market MNEs: Qualitative Review and Theoretical Directions"
"44","122","The antecedents of process integration in business process outsourcing and its effect on firm performance"
"45","122","From foreign investors to strategic insiders: Shifting parameters, prescriptions and paradigms for MNCs in China"
"46","121","Timing of investment and international expansion performance in China"
"47","117","An integrated anti-opportunism system in international exchange"
"48","117","Do multiple parents help or hinder international joint venture performance? The mediating roles of contract completeness and partner cooperation"
"49","116","Product diversification in international joint ventures: Performance implications in an emerging market"
"50","112","The changing Chinese culture and business behavior: The perspective of intertwinement between guanxi and corruption"
"51","111","Impact of product pricing and timing of investment decisions on supply chain co-opetition"
"52","106","A coopetition perspective of MNC-host government relations"
"53","102","Multiparty cooperation and performance in international equity joint ventures"
"54","101","Autonomy delegation to foreign subsidiaries: An enabling mechanism for emerging-market multinationals"
"55","96","Political constraints, organization design and performance measurement in China's state-owned enterprises"
"56","94","Joint venture success in China: How should we select a good partner?"
"57","89","The Impact of the home country on internationalization"
"58","86","A composition-based view of firm growth"
"59","85","Toward a perspective of cultural friction in international business"
"60","83","Achieving legitimacy through corporate social responsibility: The case of emerging economy firms"
"61","83","Structuring interorganizational cooperation: The role of economic integration in strategic alliances"
"62","81","Improving performance and reducing cost in buyer-supplier relationships: The role of justice in curtailing opportunism"
"63","78","An Investigation of Interpersonal Ties in Interorganizational Exchanges in Emerging Markets: A Boundary-Spanning Perspective"
"64","76","Global platforms and ecosystems: Implications for international business theories"
"65","76","How valuable is information and communication technology? A study of emerging economy enterprises"
"66","71","Venturing Abroad by Emerging Market Enterprises: A Test of Dual Strategic Intents"
"67","70","The internationalization speed of e-commerce companies: An empirical analysis"
"68","69","How does globalization affect corporate governance and accountability? A perspective from MNEs"
"69","69","Environment-strategy-performance relations in small businesses in China: A case of township and village enterprises in Southern China"
"70","66","Relationship investment and channel performance: An analysis of mediating forces"
"71","65","Corporate governance and accountability in multinational enterprises: Concepts and agenda"
"72","63","Time-based experience and international expansion: The case of an emerging economy"
"73","61","Contextualizing international strategy by emerging market firms: A composition-based approach"
"74","61","Corruption and organization in asian management systems"
"75","60","Reducing poverty in the least developed countries: The role of small and medium enterprises"
"76","60","Task attributes and process integration in business process offshoring: A perspective of service providers from India and China"
"77","58","Liabilities of foreignness: Concepts, constructs, and consequences"
"78","58","Dimensions of knowledge: Comparing Asian and Western MNEs in China"
