Scopus - 作者产出分析

"作者姓名:","Miller, Danny"
"Scopus 作者 ID:","7407279089"

"h-Index:","75"

"起始年份:","1975"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","2863","The Correlates of Entrepreneurship in Three Types of Firms"
"2","1483","Innovation in conservative and entrepreneurial firms: Two models of strategic momentum"
"3","1129","Strategy‐making and environment: The third link"
"4","912","The resource-based view of the firm in two environments: The hollywood film studios from 1936 to 1965"
"5","718","Are family firms really superior performers?"
"6","717","LONGITUDINAL STUDY OF THE CORPORATE LIFE CYCLE."
"7","709","Family governance and firm performance: Agency, stewardship, and capabilities"
"8","697","Configurations of strategy and structure: Towards a synthesis"
"9","600","Stale in the saddle: CEO tenure and the match between organization and environment"
"10","595","Stewardship vs. stagnation: An empirical comparison of small family and non-family businesses"
"11","548","Configurations revisited"
"12","544","Psychological and traditional determinants of structure"
"13","528","Momentum and revolution in organizational adaptation1"
"14","517","The structural and environmental correlates of business strategy"
"15","514","Why do some family businesses out-compete? Governance, long-term orientations, and sustainable capability"
"16","470","Toward an integrative model of effective FOB succession"
"17","443","Miller (1983) revisited: A reflection on EO research and some suggestions for the future"
"18","402","Lost in time: Intergenerational succession, change, and failure in family business"
"19","376","Family and Lone Founder Ownership and Strategic Behaviour: Social Context, Identity, and Institutional Logics"
"20","361","International Entrepreneurial Orientation: Conceptual Considerations, Research Themes, Measurement Issues, and Future Research Directions"
"21","312","Competitive attack, retaliation and performance: An expectancy‐valence framework"
"22","304","How quickly do CEOs become obsolete? Industry dynamism, CEO tenure, and company performance"
"23","300","Agency vs. stewardship in public family firms: A social embeddedness reconciliation"
"24","283","TOWARD A NEW CONTINGENCY APPROACH: THE SEARCH FOR ORGANIZATIONAL GESTALTS"
"25","278","The simplicity of competitive repertoires: An empirical analysis"
"26","272","Filling the institutional void: The social behavior and performance of family vs non-Family technology firms in emerging markets"
"27","264","UNDERSTANDING INDUSTRIAL CRISES<sup>1</sup>"
"28","259","Stewardship or agency? A social embeddedness reconciliation of conduct and performance in public family businesses"
"29","258","Competitive Dynamics: Themes, Trends, and a Prospective Research Platform"
"30","256","A contingency framework for the design of accounting information systems"
"31","244","Deconstructing socioemotional wealth"
"32","242","Family ownership and acquisition behavior in publicly-traded companies"
"33","237","An asymmetry-based view of advantage: Towards an attainable sustainability"
"34","227","Porter's (1980) Generic Strategies and Performance: An Empirical Examination with American Data: Part I: Testing Porter"
"35","217","Is family leadership always beneficial?"
"36","215","Learning across the life cycle: Experimentation and performance among the Hollywood studio heads"
"37","209","A preliminary typology of organizational learning: Synthesizing the literature"
"38","205","Narcissism and Leadership: An Object Relations Perspective"
"39","200","Family firm governance, strategic conformity, and performance: Institutional vs. strategic perspectives"
"40","189","Governance, social identity, and entrepreneurial orientation in closely held public companies"
"41","188","People matter: Commitment to employees, strategy and performance in Korean firms"
"42","176","STRATEGY‐MAKING IN CONTEXT: TEN EMPIRICAL ARCHETYPES"
"43","174","WHAT HAPPENS AFTER SUCCESS: THE PERILS OF EXCELLENCE"
"44","161","Economic and Technological Importance of Innovations in Large Family and Founder Firms: An Analysis of Patent Data"
"45","154","Reconceptualizing competitive dynamics: A multidimensional framework"
"46","151","Optimal distinctiveness: Broadening the interface between institutional theory and strategic management"
"47","146","The relational perspective as a business mindset: Managerial implications for east and west"
"48","135","Socioemotional wealth across the family firm life cycle: A commentary on ""family business survival and the role of boards"""
"49","134","Management insights from great and struggling family businesses"
"50","131","West meets east: Toward an ambicultural approach to management"
"51","131","The problem of solutions: Balancing clients and capabilities"
"52","128","A downside to the entrepreneurial personality?"
"53","121","EVOLUTION AND REVOLUTION: A QUANTUM VIEW OF STRUCTURAL CHANGE IN ORGANIZATIONS"
"54","119","Strategy, environment and performance in two technological contexts: Contingency theory in Korea"
"55","108","A meta-analysis of the financial performance of family firms: Another attempt"
"56","108","The people make the process: Commitment to employees, decision making, and performance"
"57","106","Challenge versus Advantage in Family Business"
"58","103","When do Non-Family CEOs Outperform in Family Firms? Agency and Behavioural Agency Perspectives"
"59","103","INTERPRETING ORGANIZATIONAL TEXTS"
"60","102","Tackling design anew: Getting back to the heart of organizational theory"
"61","102","Porter's (1980) Generic Strategies and Performance: An Empirical Examination with American Data: Part II: Performance Implications"
"62","101","Necessity entrepreneurship and competitive strategy"
"63","99","The Generic Strategy Trap"
"64","92","Paradigm prison, or in praise of atheoretic research"
"65","91","Family firms and practices of sustainability: A contingency view"
"66","89","Organizational Configurations: Cohesion, Change, and Prediction"
"67","88","Strategic integration: Competing in the age of capabilities"
"68","87","The icarus paradox: How exceptional companies bring about their own downfall"
"69","86","Successful and Unsuccessful Phases of the Corporate Life Cycle"
"70","84","The evolution of strategic simplicity: Exploring two models of organizational adaption"
"71","83","Strategic responses to three kinds of uncertainty: Product line simplicity at the Hollywood film studios"
"72","83","Nonconformity in competitive repertoires: A sociological view of markets"
"73","80","Strategy from the inside out: Building capability-creating organizations"
"74","79","Ownership versus management effects on performance in family and founder companies: A Bayesian reconciliation"
"75","76","Neurotic style and organizational pathology"
"76","75","Spotting management fads."
"77","74","Resources and innovation in family businesses: The Janus-face of socioemotional preferences"
"78","74","When is human capital a valuable resource? the performance effects of Ivy league selection among celebrated CEOs"
"79","69","Underdog Entrepreneurs: A Model of Challenge-Based Entrepreneurship"
"80","68","Research notes and commentaries n with the old, in with the new: Capabilities, trategies, and performance among the ollywood studios"
"81","58","To grow or to harvest? Governance, strategy and performance in family and lone founder firms"
"82","53","Pre- and post-succession governance philosophies in entrepreneurial family firms"
"83","49","Priorities, practices and strategies in successful and failing family businesses: An elaboration and test of the configuration perspective"
"84","48","Governance mechanisms and family firms"
"85","46","What happened to organization theory?"
"86","46","Ownership preferences, competitive heterogeneity, and family-controlled businesses"
"87","45","The paradox of resource vulnerability: Considerations for organizational curatorship"
"88","43","Governance and entrepreneurship in family firms: Agency, behavioral agency and resource-based comparisons"
"89","43","Commentary: Family firms and the advantage of multitemporality"
"90","42","What Can Scholars of Entrepreneurship Learn From Sound Family Businesses?"
"91","41","Product innovation, firm renewal and family governance"
"92","39","Beyond strategy: Configuration as a pillar of competitive advantage"
"93","37","Institutional logics, family firm governance and performance"
"94","37","Angel agents: Agency theory reconsidered"
"95","35","Challenging trends in configuration research: Where are the configurations?"
"96","35","Matching Strategies and Strategy Making: Process, Content, and Performance"
"97","34","The Effects of Founder and Family Ownership on Hired CEOs’ Incentives and Firm Performance"
"98","34","Common syndromes of business failure"
"99","32","Creative Chaos versus Munificent Momentum: The Schism between Normative and Academic Views of Organizational Change"
"100","30","The Arts and Family Business: Linking Family Business Resources and Performance to Industry Characteristics"
"101","29","Founder Versus Family Owners’ Impact on Pay Dispersion Among Non-CEO Top Managers: Implications for Firm Performance"
