Scopus - 作者产出分析

"作者姓名:","Hitt, Michael A."
"Scopus 作者 ID:","8092411400"

"h-Index:","88"

"起始年份:","1975"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1790","International expansion by new venture firms: International diversity, mode of market entry, technological learning, and performance"
"2","1789","International diversification: Effects on innovation and firm performance in product-diversified firms"
"3","1768","Managing firm resources in dynamic environments to create value: Looking inside the black box"
"4","1404","Direct and moderating effects of human capital on strategy and performance in professional service firms: A resource-based perspective"
"5","1054","A model of strategic enterpreneurship: The construct and its dimensions"
"6","1016","The development of organizational social capital: Attributes of family firms"
"7","907","Partner selection in emerging and developed market contexts: Resource-based and organizational learning perspectives"
"8","904","Corporate political strategy formulation: A model of approach, participation, and strategy decisions"
"9","862","Alliance management as a source of competitive advantage"
"10","791","Resource orchestration to create competitive advantage: Breadth, depth, and life cycle effects"
"11","709","Navigating in the new competitive landscape: Building strategic flexibility and competitive advantage in the 21st century"
"12","680","Building theoretical and empirical bridges across levels: Multilevel research in management"
"13","678","The market for corporate control and firm innovation"
"14","656","The new competitive landscape"
"15","637","Theory and research in strategic management: Swings of a pendulum"
"16","600","Strategic decision models: Integrating different perspectives"
"17","579","Conflicting voices: The effects of institutional ownership heterogeneity and internal governance on corporate innovation strategies"
"18","461","The institutional effects on strategic alliance partner selection in transition economies: China vs. Russia"
"19","447","Resource complementarity in business combinations: Extending the logic to organizational alliances"
"20","445","The importance of resources in the internationalization of professional service firms: The good, the bad, and the ugly"
"21","430","Dynamic core competences through meta-learning and strategic context"
"22","418","Complementary technologies, knowledge relatedness, and invention outcomes in high technology mergers and acquisitions"
"23","418","Toward a model of strategic outsourcing"
"24","416","Theoretical foundations of cross-border mergers and acquisitions: A review of current research and recommendations for the future"
"25","401","International diversification: Antecedents, outcomes, and moderators"
"26","390","Construct validity of an objective (entropy) categorical measure of diversification strategy"
"27","379","Industry Effects and Strategic Management Research"
"28","371","Strategic entrepreneurship: Creating value for individuals, organizations, and society"
"29","366","Board of director involvement in restructuring: The effects of board versus managerial controls and characteristics"
"30","360","A Mid-Range Theory of the Interactive Effects of International and Product Diversification on Innovation and Performance"
"31","344","Antecedents and Performance Outcomes of Diversification: A Review and Critique of Theoretical Perspectives"
"32","333","Why Can't a Family Business Be More Like a Nonfamily Business?: Modes of Professionalization in Family Firms"
"33","327","Strategic control systems and relative r&amp;d investment in large multiproduct firms"
"34","322","Corporate distinctive competence, strategy, industry and performance"
"35","317","Achieving and maintaining strategic competitiveness in the 21st century"
"36","308","Contingencies within dynamic managerial capabilities: Interdependent effects of resource investment and deployment on firm performance"
"37","308","Institutional ownership differences and international diversification: The effects of boards of directors and technological opportunity"
"38","294","The influence of activism by institutional investors on R&amp;D"
"39","287","Resource management in dyadic competitive rivalry: The effects of resource bundling and deployment"
"40","286","Strategic flexibility: Organizational preparedness to reverse ineffective strategic decisions"
"41","284","The importance of social capital to the management of multinational enterprises: Relational networks among Asian and western firms"
"42","279","The Interrelationships Among Informal Institutions, Formal Institutions, and Inward Foreign Direct Investment"
"43","276","Friends, acquaintances, or strangers? Partner selection in R&amp;D alliances"
"44","267","Balancing vertical integration and strategic outsourcing: Effects on product portfolio, product success, and firm performance"
"45","238","Organizational transformation in transition economies: Resource-based and organizational learning perspectives"
"46","237","Institutional polycentrism, entrepreneurs' social networks, and new venture growth"
"47","229","Construct measurement in strategic management research: Illusion or reality?"
"48","222","Privatization and entrepreneurial transformation: Emerging issues and a future research agenda"
"49","220","The role of family influence in firms' strategic responses to threat of imitation"
"50","214","Attributes of Successful and Unsuccessful Acquisitions of US Firms"
"51","211","Creating value in the face of declining performance: Firm strategies and organizational recovery"
"52","210","Architecture of entrepreneurial learning: Exploring the link among heuristics, knowledge, and action"
"53","202","Resource based theory in operations management research"
"54","193","Strategic Restructuring and Outsourcing: The Effect of Mergers and Acquisitions and LBOs on Building Firm Skills and Capabilities"
"55","186","Selecting partners for successful international alliances: Examination of U.S. and Korean firms"
"56","181","Technological learning, knowledge management, firm growth and performance: An introductory essay"
"57","174","Internationalization of Family-Controlled Firms: A Study of the Effects of External Involvement in Governance"
"58","165","Leveraging tacit knowledge in alliances: The importance of using relational capabilities to build and leverage relational capital"
"59","164","Marching to the beat of different drummers: The influence of institutional owners on competitive actions"
"60","159","The dynamic interplay of capability strengths and weaknesses: Investigating the bases of temporary competitive advantage"
"61","155","Advanced manufacturing technology: Organizational design and strategic flexibility"
"62","145","R&amp;D intensity and international joint venture performance in an emerging market: Moderating effects of market focus and ownership structure"
"63","143","Strategy formulation processes: Differences in perceptions of strength and weaknesses indicators and environmental uncertainty by managerial level"
"64","142","Current and future research methods in strategic management"
"65","140","Emerging Markets as Learning Laboratories: Learning Behaviors of Local Firms and Foreign Entrants in Different Institutional Contexts"
"66","138","Why Is Family Firms' Internationalization Unique? A Meta-Analysis"
"67","133","Managerial Selection Decision Models: Examination of Configural Cue Processing"
"68","132","Family Ties in Entrepreneurs' Social Networks and New Venture Growth"
"69","132","Doctoral education in the field of entrepreneurship"
"70","132","Mission statements: Importance, challenge, and recommendations for development"
"71","131","Contingency hypotheses in strategic management research: Use, disuse, or misuse?"
"72","130","Home Country Institutions and the Internationalization-Performance Relationship: A Meta-Analytic Review"
"73","127","All Things Great and Small: Organizational Size, Boundaries of the Firm, and a Changing Environment"
"74","127","Where is the opportunity without the customer? An integration of marketing activities, the entrepreneurship process, and institutional theory"
"75","126","What constrains or facilitates divestitures of formerly acquired firms? The effects of organizational inertia"
"76","121","Do regions matter? An integrated institutional and semiglobalization perspective on the internationalization of MNEs"
