Scopus - 作者产出分析

"作者姓名:","Grant, Adam M."
"Scopus 作者 ID:","9333161800"

"h-Index:","50"

"起始年份:","2004"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","996","Relational job design and the motivation to make a prosocial difference"
"2","979","The dynamics of proactivity at work"
"3","866","Does Intrinsic Motivation Fuel the Prosocial Fire? Motivational Synergy in Predicting Persistence, Performance, and Productivity"
"4","774","The necessity of others is the mother of invention: Intrinsic and prosocial motivations, perspective taking, and creativity"
"5","590","A socially embedded model of thriving at work"
"6","548","The Significance of Task Significance: Job Performance Effects, Relational Mechanisms, and Boundary Conditions"
"7","431","Good Soldiers and Good Actors: Prosocial and Impression Management Motives as Interactive Predictors of Affiliative Citizenship Behaviors"
"8","397","A Little Thanks Goes a Long Way: Explaining Why Gratitude Expressions Motivate Prosocial Behavior"
"9","359","Too much of a good thing: The challenge and opportunity of the inverted U"
"10","329","When callings are calling: Crafting work and leisure in pursuit of unanswered occupational callings"
"11","328","Happiness, health, or relationships? Managerial practices and employee well-being tradeoffs"
"12","318","Giving commitment: Employee support programs and the prosocial sensemaking process"
"13","309","Getting credit for proactive behavior:supervisor reactions depend on what you value and how you feel"
"14","294","Impact and the art of motivation maintenance: The effects of contact with beneficiaries on persistence behavior"
"15","264","Leading with meaning: Beneficiary contact, prosocial impact, and the performance effects of transformational leadership"
"16","255","The Bright Side of Being Prosocial at Work, and the Dark Side, Too: A Review and Agenda for Research on Other-Oriented Motives, Behavior, and Impact in Organizations"
"17","248","Reversing the extraverted leadership advantage: The role of employee proactivity"
"18","211","Unanswered questions about public service motivation: Designing research to address key issues of emergence and effects"
"19","207","Giving time, time after time: Work design and sustained employee participation in corporate volunteering"
"20","195","Mission Possible? The Performance of Prosocially Motivated Employees Depends on Manager Trustworthiness"
"21","185","Rocking the boat but keeping it steady: The role of emotion regulation in employee voice"
"22","184","Meaningful Work: Connecting Business Ethics and Organization Studies"
"23","162","The neglected science and art of quasi-experimentation: Why-to, when-to, and how-to advice for organizational researchers"
"24","155","I Won't Let You Down... or Will I? Core Self-Evaluations, Other-Orientation, Anticipated Guilt and Gratitude, and Job Performance"
"25","145","Employees without a cause: The motivational effects of prosocial impact in public service"
"26","129","Doing good buffers against feeling bad: Prosocial impact compensates for negative task and self-evaluations"
"27","126","It's not all about me: Motivating hand hygiene among health care professionals by focusing on patients"
"28","126","The hot and cool of death awareness at work: Mortality cues, aging, and self-protective and prosocial motivations"
"29","124","Seeking Help in the Shadow of Doubt: The Sensemaking Processes Underlying How Nurses Decide Whom to Ask for Advice"
"30","111","Doing good at work feels good at home, but not right away: When and why perceived prosocial impact predicts positive affect"
"31","103","Making a difference matters: Impact unlocks the emotional benefits of prosocial spending"
"32","93","Doing good, doing harm, being well and burning out: The interactions of perceived prosocial and antisocial impact in service work"
"33","92","Job design in temporal context: A career dynamics perspective"
"34","91","When job performance is all relative: How family motivation energizes effort and compensates for intrinsic motivation"
"35","90","Collaborative overload"
"36","85","The performance implications of ambivalent initiative: The interplay of autonomous and controlled motivations"
"37","82","Challenging the norm of self-interest: Minority influence and transitions to helping norms in work units"
"38","82","Publishing in AMJ-Part 3: Setting the hook"
"39","81","Putting job design in context: Introduction to the special issue"
"40","81","Understanding mechanisms in organizational research: Reflections from a collective journey"
"41","77","The bedside manner of homo economicus: How and why priming an economic schema reduces compassion"
"42","74","Rethinking the Extraverted Sales Ideal: The Ambivert Advantage"
"43","68","Job titles as identity badges: How self-reflective titles can reduce emotional exhaustion"
"44","65","Convincing Yourself to Care About Others: An Intervention for Enhancing Benevolence Values"
"45","61","Hale and Hearty Policies: How Psychological Science Can Create and Maintain Healthy Habits"
"46","60","Mixed reasons, missed givings: The costs of blending egoistic and altruistic reasons in donation requests"
"47","56","Beneficiary or Benefactor: Are People More Prosocial When They Reflect on Receiving or Giving?"
"48","54","Designing jobs to do good: Dimensions and psychological consequences of prosocial job characteristics"
"49","53","The mixed effects of online diversity training"
"50","50","Growing at work: Employees' interpretations of progressive self-change in organizations"
"51","45","Accountability and ideology: When left looks right and right looks left"
"52","38","Outsourcing inspiration: The performance effects of ideological messages from leaders and beneficiaries"
"53","37","When in doubt, seize the day? Security values, prosocial values, and proactivity under ambiguity"
"54","32","In the company of givers and takers"
"55","29","Separating data from intuition: Bringing evidence into the management classroom"
"56","27","Work Motivation: Directing, Energizing, and Maintaining Effort (and Research)"
"57","26","How customers can rally your troops"
"58","25","Prosocial Motivation at Work: When, Why, and How Making a Difference Makes a Difference"
"59","24","Let’s not kill performance evaluations yet"
"60","24","Mindful creativity: Drawing to draw distinctions"
"61","23","Bored by interest: How intrinsic motivation in one task can reduce performance on other tasks"
"62","16","The performer's reactions to procedural injustice: When prosocial identity reduces prosocial behavior"
"63","12","Givers take all: The hidden dimension of corporate culture"
"64","10","Personal projects and organizational lives"
"65","8","How to build a culture of originality"
"66","7","The sustainable pursuit of core projects: Retrospect and prospects"
"67","7","The hidden advantages of quiet bosses"
"68","6","Busy brains, boasters' gains: Self-promotion effectiveness depends on audiences cognitive resources"
"69","4","When putting work off pays off: The curvilinear relationship between procrastination and creativity"
"70","3","Social Motivation at Work: The Organizational Psychology of Effort for, Against, and with Others"
"71","3","Writing a Book for Real People: On Giving the Psychology of Giving Away"
"72","2","The surprising value of obvious insights"
"73","1","That's important! Making a difference with organizational research"
"74","0","What's in a job title?"
"75","0","Erratum: Reversing the extraverted leadership advantage: The role of employee proactivity (Academy of Management Journal (2011))"
"76","0","The adversity of success: Explaining why high performance can lead to failure"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
