Scopus - 作者产出分析

"作者姓名:","Smith, Wendy K."
"Scopus 作者 ID:","9334428100"

"h-Index:","22"

"起始年份:","2002"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1573","Toward a theory of paradox: A dynamic equilibrium model of organizing"
"2","1213","Managing strategic contradictions: A top management model for managing innovation streams"
"3","591","Multiple institutional logics in organizations: Explaining their varied nature and implications"
"4","580","A structural approach to assessing innovation: Construct development of innovation locus, type, and characteristics"
"5","438","Paradox Research in Management Science: Looking Back to Move Forward"
"6","394","Managing social-business tensions: A review and research agenda for social enterprise"
"7","317","Dynamic decision making: A model of senior leaders managing strategic paradoxes"
"8","295","Complex business models: Managing strategic paradoxes simultaneously"
"9","232","Paradox as a Metatheoretical Perspective: Sharpening the Focus and Widening the Scope"
"10","213","Microfoundations of organizational paradox: The problem is how we think about the problem"
"11","169","Organizational designs and innovation streams"
"12","159","Bowing before Dual Gods: How Structured Flexibility Sustains Organizational Hybridity*"
"13","157","Paradoxical leadership to enable strategic agility"
"14","145","A paradoxical leadership model for social entrepreneurs: Challenges, leadership skills, and pedagogical tools for managing social and commercial demands"
"15","116","From the editors new ways of seeing through qualitative research"
"16","98","Adding Complexity to Theories of Paradox, Tensions, and Dualities of Innovation and Change: Introduction to Organization Studies Special Issue on Paradox, Tensions, and Dualities of Innovation and Change"
"17","98","Institutional complexity and paradox theory: Complementarities of competing demands"
"18","64","""Both/and"" leadership"
"19","64","The ambidextrous CEO"
"20","62","Diverging and Converging: Integrative Insights on a Paradox Meta-perspective"
"21","39","Leadership Skills for Managing Paradoxes"
"22","38","Quo vadis, paradox? Centripetal and centrifugal forces in theory development"
"23","17","Managing the Paradoxes of Place to Foster Regeneration"
"24","17","Seeing practice impact in new ways"
"25","15","Managing the grading paradox: Leveraging the power of choice in the classroom"
"26","11","Integrative ambidexterity: one paradoxical mode of learning"
"27","11","Entrepreneurial leadership of social enterprises: Challenges and skills for embracing paradoxes"
"28","7","Addressing Grand Challenges’ Paradoxes: Leadership Skills to Manage Inconsistencies"
"29","6","Our Collective Tensions: Paradox Research Community’s Response to COVID-19"
"30","5","Biographical methods in leadership research"
"31","5","Organizational Sustainability: Organization Design and Senior Leadership to Enable Strategic Paradox"
"32","3","The value of interdisciplinary research to advance paradox in organization theory<sup>*</sup>"
"33","3","Practices for leveraging the paradoxes of engaged scholarship"
"34","2","Implementing interdisciplinary paradox research"
"35","2","Organization Studies: Call for papers Special issue on Paradox, Tensions and Dualities of Innovation and Change"
"36","1","Managing social-business tensions: A review and research agenda for social enterprise"
"37","1","Organization Studies: Call for papers Special issue on Paradox, Tensions and Dualities of Innovation and Change"
"38","1","Managing the grading paradox: Leveraging the power of choice in the classroom"
"39","1","Top management team approaches to simultanously managing exploration and exploitation"
"40","0","Conceiving opposites together: Cultivating paradoxical frames and epistemic motivation fosters team creativity"
"41","0","Organization Studies: Call for papers Special issue on Paradox, Tensions and Dualities of Innovation and Change"
"42","0","Managing strategic contradictions: A top management team model for simultaneously exploring and exploiting"

"© 2022 Elsevier B.V. 保留所有权利。Scopus ® 是 Elsevier Properties S.A. 的注册商标，请根据许可使用。"
