Scopus - 作者产出分析

"作者姓名:","Burke, Marshall B."
"Scopus 作者 ID:","9744099300"

"h-Index:","37"

"起始年份:","2004"
"结束年份:","2022"
"排除自引项:","No"
"排除书籍中的引用:","No"

"文献顺序","引文","标题"

"1","1828","Prioritizing climate change adaptation needs for food security in 2030"
"2","787","Quantifying the influence of climate on human conflict"
"3","686","Global non-linear effect of temperature on economic production"
"4","603","Combining satellite imagery and machine learning to predict poverty"
"5","514","Warming increases the risk of civil war in Africa"
"6","487","On the use of statistical models to predict crop yield responses to climate change"
"7","258","The poverty implications of climate-induced crop yield changes by 2030"
"8","252","The ripple effect biofuels, food security, and the environment"
"9","241","Adaptation to climate change: Evidence from US agriculture"
"10","241","Why are agricultural impacts of climate change so uncertain? the importance of temperature relative to precipitation"
"11","214","Aquaculture and ocean resources: Raising tigers of the sea"
"12","200","Assessing risks of climate variability and climate change for Indonesian rice agriculture"
"13","199","Climate and Conflict"
"14","169","Shifts in African crop climates by 2050, and the implications for crop improvement and genetic resources conservation"
"15","167","Global warming has increased global economic inequality"
"16","165","Satellite-based assessment of yield variation and its determinants in smallholder African systems"
"17","158","International trade in meat: The tip of the pork chop"
"18","153","Climate, conflict, and social stability: What does the evidence say?"
"19","139","Robust relationship between air quality and infant mortality in Africa"
"20","138","Solar-powered drip irrigation enhances food security in the Sudano-Sahel"
"21","133","Higher temperatures increase suicide rates in the United States and Mexico"
"22","132","Transfer learning from deep features for remote sensing and poverty mapping"
"23","125","Climate as a risk factor for armed conflict"
"24","117","Smallholder maize area and yield mapping at national scales with Google Earth Engine"
"25","110","Large potential reduction in economic damages under UN mitigation targets"
"26","88","The COVID-19 lockdowns: a window into the Earth System"
"27","88","Incorporating climate uncertainty into estimates of climate change impacts"
"28","72","Opportunities for advances in climate change economics"
"29","64","Using publicly available satellite imagery and deep learning to understand economic well-being in Africa"
"30","64","Armed conflict and child mortality in Africa: a geospatial analysis"
"31","58","Sources of variation in under-5 mortality across sub-Saharan Africa: a spatial analysis"
"32","55","Income shocks and HIV in Africa"
"33","54","Estimating global agricultural effects of geoengineering using volcanic eruptions"
"34","47","Mapping smallholder yield heterogeneity at multiple scales in eastern Africa"
"35","47","Climate robustly linked to African civil war"
"36","47","Food Security and Adaptation to Climate Change: What Do We Know?"
"37","38","Using climate models to improve Indonesian food security"
"38","37","Sell low and buy high: Arbitrage and local price effects in Kenyan markets"
