作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Zeng, Z., Yao, Y., Liu, Z., Sun, M.","57219648819;57452210100;57191691341;7403180987;","A deep-learning system bridging molecule structure and biomedical text with comprehension comparable to human professionals",2022,"Nature Communications","13","1","862","","",,,"10.1038/s41467-022-28494-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124586621&doi=10.1038%2fs41467-022-28494-3&partnerID=40&md5=f179b2d312535ac774f75518b8c7d2b4",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85124586621
"Shi, C., Lu, Y., Hu, L., Liu, Z., Ma, H.","55447999200;57203114109;56181376700;57191691341;7403096223;","RHINE: Relation Structure-Aware Heterogeneous Information Network Embedding",2022,"IEEE Transactions on Knowledge and Data Engineering","34","1",,"433","447",,5,"10.1109/TKDE.2020.2982898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121680262&doi=10.1109%2fTKDE.2020.2982898&partnerID=40&md5=4bbee74d3aa48eeda1812feeb38881e6",Article,"Final","",Scopus,2-s2.0-85121680262
"Han, X., Zhang, Z., Liu, Z.","57205548124;57196122281;57191691341;","Knowledgeable machine learning for natural language processing",2021,"Communications of the ACM","64","11",,"50","51",,1,"10.1145/3481608","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118304375&doi=10.1145%2f3481608&partnerID=40&md5=18e92e43a965e17219e377a19be79069",Short Survey,"Final","All Open Access, Bronze",Scopus,2-s2.0-85118304375
"Qi, F., Xie, R., Zang, Y., Liu, Z., Sun, M.","57215717685;57155801500;57219590450;57191691341;7403180987;","Sememe knowledge computation: a review of recent advances in application and expansion of sememe knowledge bases",2021,"Frontiers of Computer Science","15","5","155327","","",,1,"10.1007/s11704-020-0002-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105017886&doi=10.1007%2fs11704-020-0002-4&partnerID=40&md5=da19fb098615ecd1366a7f9a9da7c1fc",Review,"Final","",Scopus,2-s2.0-85105017886
"Hu, L., Zhang, M., Li, S., Shi, J., Shi, C., Yang, C., Liu, Z.","56181376700;57222002154;56611229800;57219876865;55447999200;57001472900;57191691341;","Text-Graph Enhanced Knowledge Graph Representation Learning",2021,"Frontiers in Artificial Intelligence","4",,"697856","","",,1,"10.3389/frai.2021.697856","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117892748&doi=10.3389%2ffrai.2021.697856&partnerID=40&md5=bc8398a036288bce8427cd3734aecb00",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85117892748
"Song, C., Yang, C., Chen, H., Tu, C., Liu, Z., Sun, M.","57221813093;57001472900;57211736069;56403932800;57191691341;7403180987;","CED: Credible Early Detection of Social Media Rumors",2021,"IEEE Transactions on Knowledge and Data Engineering","33","8","8939421","3035","3047",,7,"10.1109/TKDE.2019.2961675","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112111536&doi=10.1109%2fTKDE.2019.2961675&partnerID=40&md5=0f38bad232878311e9cda580911af8fb",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85112111536
"Li, Y., Liu, Z., Xiong, C., Liu, Z.","57226341189;57194902552;56405071400;57191691341;","More Robust Dense Retrieval with Contrastive Dual Learning",2021,"ICTIR 2021 - Proceedings of the 2021 ACM SIGIR International Conference on Theory of Information Retrieval",,,,"287","296",,,"10.1145/3471158.3472245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114482629&doi=10.1145%2f3471158.3472245&partnerID=40&md5=0c27338671801c0522a30afd993881ef",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85114482629
"Liu, Z., Zhang, K., Xiong, C., Liu, Z., Sun, M.","57194902552;57217169547;56405071400;57191691341;7403180987;","OpenMatch: An Open Source Library for Neu-IR Research",2021,"SIGIR 2021 - Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval",,,"3462789","2531","2535",,,"10.1145/3404835.3462789","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111621380&doi=10.1145%2f3404835.3462789&partnerID=40&md5=c757a80f020b736fe89c163e2a6321f3",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85111621380
"Yu, S., Liu, Z., Xiong, C., Feng, T., Liu, Z.","57221187165;57194902552;56405071400;57224642029;57191691341;","Few-Shot Conversational Dense Retrieval",2021,"SIGIR 2021 - Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval",,,"3462856","829","838",,4,"10.1145/3404835.3462856","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108249045&doi=10.1145%2f3404835.3462856&partnerID=40&md5=910c3b497bf7b19c430774949511bb1d",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85108249045
"Chen, H., Jin, S., Lin, W., Zhu, Z., Tong, L., Liu, Y., Ye, Y., Jiang, W., Liu, Z., Sun, M., Jin, J.","57211736069;57226100475;57226104168;57221141907;57234152400;57226132009;57221148842;57226116828;57191691341;7403180987;13403426200;","Quantitative Analysis on the Communication of COVID-19 Related Social Media Rumors [新冠疫情相关社交媒体谣言传播量化分析]",2021,"Jisuanji Yanjiu yu Fazhan/Computer Research and Development","58","7",,"1366","1384",,1,"10.7544/issn1000-1239.2021.20200818","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110472635&doi=10.7544%2fissn1000-1239.2021.20200818&partnerID=40&md5=92a1ee5aa3fa5fcfc515a1471e8cfb5a",Article,"Final","",Scopus,2-s2.0-85110472635
