First Name,Last Name,ID,Documents,Cited By,Preprints,Coauthor,Topics,Awarded Grants,Category,Primary Affiliation,Secondary Affiliations
U. Rajendra,Acharya,7004510847,740,20198,18,953,85,0,Computer Science,"Ngee Ann Polytechnic, Singapore","Singapore University of Social Sciences (SUSS), Singapore"
Ian F.,Akyildiz,35838511900,586,59022,20,351,32,6,Computer Science,"Georgia Institute of Technology, United States",
Fuad E.,Alsaadi,23566767000,427,9401,0,435,52,0,Computer Science,"King Abdulaziz University, Saudi Arabia",
Jeffrey G.,Andrews,55627508700,404,25445,42,222,21,4,Computer Science,"University of Texas Austin, United States",
Yuri,Bazilevs,8582816900,219,8104,6,235,21,4,Computer Science,"Brown University, United States",
Stephane P. A.,Bordas,57517338500,13,21,27,49,1,0,Computer Science,"University of Luxembourg, Luxembourg","Cardiff University, United Kingdom"
Rajkumar,Buyya,57194845546,777,40357,56,871,74,0,Computer Science,"University of Melbourne, Australia",
Giuseppe,Caire,7004399543,620,17986,141,433,50,4,Computer Science,"University of Southern California, United States","Technical University of Berlin, Germany"
Jinde,Cao,7403354075,1594,23539,12,1093,100,0,Computer Science,"Southeast University - China, China Mainland",
C. L. Philip,Chen,57217604244,324,2640,12,485,68,0,Computer Science,"South China University of Technology, China Mainland","University of Macau, Macau"
Min,Chen,25821032200,414,17068,1,562,74,0,Computer Science,"Huazhong University of Science & Technology, China Mainland",
Xiaofeng,Chen,35721744700,304,5359,4,295,35,0,Computer Science,"Xidian University, China Mainland",
Xiao-hong,Chen,56888182800,469,13694,0,464,89,0,Computer Science,"Central South University, China Mainland",
Francisco,Chiclana,9134178600,268,6752,1,401,36,0,Computer Science,"University of Granada, Spain","De Montfort University, United Kingdom"
Merouane,Debbah,35588784300,643,20083,119,577,54,0,Computer Science,"Universite Paris Saclay, France","Huawei France Research Center, France"
Zhiguo,Ding,8335376300,643,13148,128,681,37,0,Computer Science,"University of Manchester, United Kingdom",
Mianxiong,Dong,25822274100,358,6274,6,520,90,0,Computer Science,"Muroran Institute of Technology, Japan",
Yucheng,Dong,23392045600,205,4040,3,150,14,0,Computer Science,"Sichuan University, China Mainland",
Maged,Elkashlan,6602911293,229,7700,37,160,24,0,Computer Science,"University of London, United Kingdom",
John A.,Evans,55724920400,66,2298,25,94,11,4,Computer Science,"University of Colorado Boulder, United States",
Salvador,Garcia,37103985200,178,13898,16,134,23,0,Computer Science,"University of Granada, Spain",
Amitava,Ghosh,56574597500,133,5726,11,183,12,0,Computer Science,"Nokia Corporation, Finland",
Qing-Long,Han,7202485252,585,15772,2,341,47,0,Computer Science,"Swinburne University of Technology, Australia",
Zhu,Han,55767186700,1339,28308,135,1293,100,15,Computer Science,"University of Houston System, United States",
Lajos,Hanzo,36043733600,1787,24732,130,1102,100,0,Computer Science,"University of Southampton, United Kingdom",
Debiao,He,35603655700,288,6304,1,260,37,0,Computer Science,"Wuhan University, China Mainland",
Robert W.,Heath,55934670700,803,27333,84,496,53,12,Computer Science,"University of Texas Austin, United States","University of Texas System, United States"
Francisco,Herrera,7102347190,724,36958,5,469,58,0,Computer Science,"University of Granada, Spain",
Enrique,Herrera-Viedma,7004240703,629,13803,9,708,81,0,Computer Science,"University of Granada, Spain",
Ekram,Hossain,6701362398,493,18413,71,313,44,0,Computer Science,"University of Manitoba, Canada",
Guang-Bin,Huang,7403425167,192,19055,0,263,30,0,Computer Science,"Nanyang Technological University, Singapore",
Kaibin,Huang,15834779200,207,7275,67,179,27,0,Computer Science,"University of Hong Kong, Hong Kong",
Tingwen,Huang,8868586900,762,13765,8,653,84,0,Computer Science,"Texas A&M University Qatar, Qatar",
Thomas J. R.,Hughes,55911870000,410,29864,12,320,16,4,Computer Science,"University of Texas System, United States",
Yaochu,Jin,57201346599,457,11184,34,445,50,0,Computer Science,"University of Surrey, United Kingdom",
Dervis,Karaboga,6701575189,117,13224,0,58,11,0,Computer Science,"King Abdulaziz University, Saudi Arabia","Erciyes University, Turkey"
Nei,Kato,7403474407,497,10378,3,391,64,0,Computer Science,"Tohoku University, Japan",
Ioannis,Krikidis,6508343836,260,6396,41,193,24,0,Computer Science,"University of Cyprus, Cyprus",
Neeraj,Kumar,57206866080,781,12667,10,952,100,0,Computer Science,"King Abdulaziz University, Saudi Arabia","Thapar University, India"
Erik G.,Larsson,35555550500,496,17374,111,364,30,0,Computer Science,"Linkoping University, Sweden",
Victor C. M.,Leung,7102336029,1516,26290,63,1368,100,0,Computer Science,"Shenzhen University, China Mainland","University of British Columbia, Canada"
Geoffrey Ye,Li,57195633181,503,23992,0,343,41,0,Computer Science,"Georgia Institute of Technology, United States","University System of Georgia, United States"
Hongyi,Li,57193390538,228,9824,0,211,24,0,Computer Science,"Guangdong University of Technology, China Mainland",
Jin,Li,57202722689,129,3358,6,233,22,0,Computer Science,"Guangzhou University, China Mainland",
Xiong,Li,36509118600,189,3756,1,283,44,0,Computer Science,"University of Electronic Science & Technology of China, China Mainland","Hunan University of Science & Technology, China Mainland"
Xuelong,Li,55936260100,867,28080,9,985,100,0,Computer Science,"Northwestern Polytechnical University, China Mainland",
Yong,Li,57189401839,499,8250,52,534,68,0,Computer Science,"Tsinghua University, China Mainland",
Yongming,Li,26642926400,256,6822,0,75,9,0,Computer Science,"Liaoning University of Technology, China Mainland",
Ying-Chang,Liang,36071330300,580,17277,1,406,57,0,Computer Science,"University of Electronic Science & Technology of China, China Mainland",
Huchang,Liao,55580964700,301,5107,0,224,33,0,Computer Science,"Sichuan University, China Mainland",
Derong,Liu,55857948600,620,8378,0,301,15,0,Computer Science,"Guangdong University of Technology, China Mainland",
Peide,Liu,35388763600,374,4935,3,233,17,0,Computer Science,"Shandong University of Finance & Economics, China Mainland",
