First Name,Last Name,ID,Documents,Cited By,Preprints,Coauthor,Topics,Awarded Grants,Category,Primary Affiliation,Secondary Affiliations
Daron,Acemoglu,7003483273,259,30411,71,137,21,2,Economics and Business,"Massachusetts Institute of Technology (MIT), United States",
Viral V.,Acharya,7005203497,131,7984,60,112,0,0,Economics and Business,"New York University, United States",
Herman,Aguinis,7006100196,199,12826,0,221,27,1,Economics and Business,"George Washington University, United States",
David,Ahlstrom,56525447800,100,5548,0,105,16,0,Economics and Business,"Chinese University of Hong Kong, Hong Kong",
Hunt,Allcott,17433648600,31,5577,21,57,12,0,Economics and Business,"New York University, United States",
Raphael,Amit,7004998175,49,14772,1,30,3,0,Economics and Business,"University of Pennsylvania, United States",
B. W.,Ang,7007186262,161,8540,1,59,4,0,Economics and Business,"National University of Singapore, Singapore",
John,Antonakis,8256230000,67,5009,0,164,9,0,Economics and Business,"University of Lausanne, Switzerland",
Nicholas,Apergis,6701803017,382,7698,3,212,74,0,Economics and Business,"King Abdulaziz University, Saudi Arabia","University of Piraeus, Greece"
Dan,Ariely,7003817999,216,16785,3,370,37,4,Economics and Business,"Duke University, United States",
David H.,Autor,6602634280,65,10363,28,65,8,2,Economics and Business,"Massachusetts Institute of Technology (MIT), United States",
Julie,Battilana,14119410800,27,3697,0,25,2,1,Economics and Business,"Harvard University, United States",
Pascual,Berrone,57204409370,44,4237,0,51,10,0,Economics and Business,"IESE Business School, Spain","University of Navarra, Spain"
Julian,Birkinshaw,7003272873,180,12199,1,123,15,0,Economics and Business,"London Business School, United Kingdom","University of London, United Kingdom"
Nicholas,Bloom,55147487400,78,11354,75,101,16,7,Economics and Business,"Stanford University, United States",
Markus K.,Brunnermeier,56009422500,45,6517,29,49,10,0,Economics and Business,"Princeton University, United States",
Garry D.,Bruton,6603867202,115,7876,0,102,13,0,Economics and Business,"Texas Christian University, United States",
Marshall,Burke,9744099300,86,7899,30,191,22,2,Economics and Business,"Stanford University, United States",
David,Card,7006709011,114,12132,24,89,12,6,Economics and Business,"Consejo Superior de Investigaciones Cientificas (CSIC), Spain","University of California Berkeley, United States"
Gary,Charness,6701817928,111,6984,14,98,9,0,Economics and Business,"University of California Santa Barbara, United States",
Raj,Chetty,56240427600,56,7345,15,48,12,8,Economics and Business,"Harvard University, United States","Stanford University, United States"
Thomas Y.,Choi,35228407900,93,7315,0,102,11,0,Economics and Business,"Arizona State University, United States","Norwegian University of Science & Technology (NTNU), Norway"
James J.,Chrisman,6603889384,135,6373,0,110,6,0,Economics and Business,"Mississippi State University, United States","University of Alberta, Canada"
Jess H.,Chua,7005163494,80,4538,0,41,2,0,Economics and Business,"University of Calgary, Canada",
Kevin G.,Corley,7004228468,46,9766,0,50,7,0,Economics and Business,"Arizona State University, United States",
Stefano,Dellavigna,23391949900,35,4101,16,36,9,1,Economics and Business,"University of California Berkeley, United States",
Thomas,Dohmen,7801649494,50,4194,5,55,8,0,Economics and Business,"Maastricht University, Netherlands",
Esther,Duflo,6602205596,90,15574,2,182,13,0,Economics and Business,"Massachusetts Institute of Technology (MIT), United States",
Kathleen M.,Eisenhardt,6701924601,83,29116,1,61,11,1,Economics and Business,"Stanford University, United States",
